ncl,Npix,Nvox,maxpix,maxpix x,maxpix y,maxpix v,vmax,Tmax,meansigv,errsigv,ellipse fit a,ellipse fit b,ellipse theta,ellipse R,ellipse R error,area,perimeter
1,6852,82128,28.440332,43,1341,1315,1515,10.562043,79.07971369,3.653573193,19.68771336,31.32714168,1.851236915,36.32410657,12.20301855,15278.04219,961.6367295
2,10517,99359,23.882978,24,1613,685,1430,9.9001875,50.86102655,1.715195078,37.91383814,60.55932256,22.05774885,75.87281387,15.53320214,23449.96639,1101.999855
3,29729,253084,20.6558,33,1357,1119,1460,9.265424,51.07993884,2.120141057,73.52016216,62.28240006,-22.32857767,108.5776871,26.9267437,66287.34914,2281.647395
4,4659,27013,19.663855,13,1669,762,1365,8.40708,33.89470721,1.31035496,36.75433353,22.49644343,-7.667036911,43.29609371,16.08932883,10388.26599,803.3549075
5,28119,219102,19.242523,30,1434,1169,1450,8.161819,48.41517345,1.718523767,68.99338687,66.14739235,-31.39548414,108.3916059,24.74331295,62697.49977,2245.810002
6,15439,80620,17.947805,30,1463,1338,1460,7.657068,41.60924965,1.677653744,71.13281174,44.7754718,19.8672818,90.03140727,26.74837762,34424.64877,1660.465906
7,11281,56198,17.751621,40,445,1059,1505,7.912254,30.86823003,1.186999805,30.59011475,51.44115359,11.81999055,62.03004884,23.10933748,25153.47256,1251.322328
8,4866,32266,16.901644,24,1478,1276,1425,8.276364,41.55558785,1.694399328,32.20031958,22.50804812,-28.28019927,40.06035791,10.86555309,10849.81805,719.7343224
9,8525,20816,16.798672,36,621,1459,1480,7.917373,17.28733123,8.04E-01,12.68758216,18.02083446,24.88702857,17.14330798,14.93314997,19008.36394,1412.590599
10,14283,83269,16.716337,38,408,1136,1485,7.675178,35.38431016,1.21E+00,62.87151758,29.9233956,-19.32743105,68.27064538,9.35778207,31847.09233,1815.761278
11,9170,78315,16.213987,14,1708,649,1385,8.539901,56.10148567,2.504006976,29.28018278,55.41363798,31.35782908,63.06361135,17.74397157,20446.53341,940.7315832
12,3304,14099,16.205622,33,1404,1322,1460,8.486359,19.14822872,6.85E-01,21.91795295,32.88673403,0.06691162367,39.92966223,8.515465279,7366.995243,645.0730856
13,14327,100445,15.726734,37,469,1131,1480,7.341804,49.77132868,2.230612761,33.93017487,74.0325526,2.45062927,79.54351656,32.67218951,31945.20001,1717.208445
14,2554,20770,15.195479,28,1685,811,1435,7.8633814,46.60930249,1.584784065,22.46123562,14.71625344,19.95051506,23.7310041,7.933067111,5694.70516,433.0351732
15,853,3193,14.5672655,20,1432,1279,1400,8.730916,14.1953984,0.4601732178,12.00822216,20.63158906,8.09381929,18.557554,26.47922841,1901.951254,215.0243619
16,9812,69510,14.200047,57,1221,1281,1595,7.0995054,41.07470018,1.80E+00,37.79789768,59.85867895,15.53152335,75.28714438,17.49904794,21878.01372,1024.352168
17,2728,19310,14.0346985,68,1341,1348,1620,8.688983,45.257639,1.90E+00,20.52408625,28.65512692,3.484438413,35.2670533,4.308914082,6082.676459,522.6286573
18,20533,88550,13.640362,39,1627,661,1490,6.502161,30.41740998,1.27E+00,43.8809343,171.8262718,29.81151213,140.0457817,101.480743,45782.84301,2619.116185
19,9245,53186,13.271056,39,1657,624,1495,6.922678,33.73225412,1.41925611,32.25569459,54.70178147,26.66932483,65.96990666,22.84506221,20613.76241,1182.63399
20,6059,21446,12.82561,41,1325,1221,1505,7.0164394,45.96821773,2.34E+00,27.24608943,63.10025367,-26.31168468,65.05821182,23.70745234,13509.87414,1349.875161
21,2473,10006,12.752901,36,1401,1378,1465,7.5387506,16.51526136,6.10E-01,20.06267585,35.92636475,-18.94816758,39.92864052,10.75927463,5514.097831,456.926769
22,9211,34587,12.563865,70,1129,1284,1665,6.9121604,25.92346366,1.203793828,26.3081712,21.78346337,-7.789281957,34.69915575,5.654956506,20537.95193,1573.858871
23,857,2662,12.032423,29,1491,1413,1445,7.718198,14.62798099,0.5706871102,19.77208957,10.94017403,-26.06246601,16.16511333,9.858899737,1910.870134,226.9701597
24,13188,37120,11.930943,38,954,1103,1490,6.3732786,26.29667297,1.247122082,121.0729708,49.62953996,30.15829768,124.7682203,77.74330716,29405.54881,2039.744988
25,6374,34479,11.928081,33,1279,1067,1465,7.1611648,27.69401578,1.286738179,35.68170676,27.54049597,-21.70939601,47.81592736,7.842363133,14212.23598,1024.352168
26,33645,196441,11.778514,59,916,1192,1625,6.5972595,55.05221045,2.717800777,46.44685287,96.8986629,-40.73332023,107.6198017,38.91289808,75018.93309,3279.121518
27,4494,26063,11.493801,13,1863,508,1380,7.2745776,35.29235923,1.443238812,18.00188945,36.259304,12.5645368,37.60987324,9.492928504,10020.36217,970.5960779
28,1262,3019,11.407634,17,1547,1311,1380,7.0354695,10.150982,0.4252271846,35.41162807,14.51288923,-41.90517866,32.3684245,12.92360237,2813.906778,346.4281386
29,8828,36874,11.346223,37,907,1181,1485,6.4505596,24.06609769,1.07E+00,41.35679438,57.90059344,43.96913534,77.56983206,23.56159462,19683.96913,1131.864349
30,7030,19612,11.225812,33,1651,1537,1470,6.3601713,16.66259002,6.36E-01,29.89633606,80.53224925,38.70444362,77.79154988,21.93069679,15674.93237,1116.932102
31,2784,5733,11.196738,35,530,1398,1475,7.082127,8.197435845,2.85E-01,47.31791256,23.25881533,-25.18619234,50.96870046,14.5910415,6207.540785,459.9132184
32,8555,33885,11.179085,42,817,999,1495,6.5838737,28.75751383,1.189965164,23.60016496,44.98662226,-3.882539048,49.95105966,17.49223161,19075.25554,1472.319589
33,3143,17458,11.102729,57,394,1165,1580,6.9102182,48.78661892,1.98E+00,16.103924,45.48797271,-29.23038381,40.31574676,15.25606781,7008.010305,695.8427266
34,4611,24395,11.081222,73,1252,1234,1680,6.7493668,37.88890346,1.727683176,51.71132083,17.67715176,34.56564427,45.88182921,19.47519192,10281.23943,797.3820086
35,967,2371,11.046529,18,1596,1338,1390,7.351834,13.17475887,0.4999220415,15.12500028,12.54155223,42.65408714,13.81932527,3.557138909,2156.139346,325.5229923
36,2677,11784,11.026243,61,597,1138,1605,6.7676244,28.46591647,1.16E+00,17.78218054,31.73623761,25.70829913,34.36462984,8.341954641,5968.960734,537.5609047
37,21367,140612,10.985284,37,1821,564,1490,6.3798113,52.89923352,2.250078364,85.26395418,70.15581054,-19.68584486,124.4816265,29.74464847,47642.42958,2021.826291
38,9523,26962,10.92812,37,441,1357,1490,6.4805527,20.32459779,0.8470948667,112.6305602,23.73234684,-5.036873191,82.17494939,91.27455795,21233.6246,1502.184084
39,1105,4761,10.860743,37,1056,1007,1475,6.8738537,14.9989444,5.85E-01,22.02889433,13.91391815,-0.8570580916,22.35276904,9.955517416,2463.840721,247.875306
40,7821,28438,10.522804,45,1224,998,1525,6.437038,20.45907359,0.9023729606,31.776591,50.44964703,31.46250748,62.65578798,16.62020234,17438.64098,1179.647541
41,2277,7755,10.31597,23,1609,1220,1425,6.9215255,16.69104895,6.46E-01,25.46495959,16.79546008,3.920722556,28.63331112,9.521499241,5077.07269,421.0893753
42,14239,74815,10.304093,48,642,1143,1575,5.993685,36.45469057,1.66E+00,41.8837211,65.64613047,27.91962102,83.39608215,26.54962264,31748.98464,1773.950985
43,4624,10718,10.266696,39,1034,1199,1495,6.127751,17.00207359,0.7087924751,67.39004931,22.37678286,-43.1869888,60.61633613,42.43176724,10310.22579,1033.311517
44,897,2135,10.262635,61,1987,1460,1605,6.762111,8.412340473,3.35E-01,19.55566004,11.55387451,-15.93858324,16.93417005,3.709376229,2000.058938,238.9159576
45,2420,6312,10.049141,57,1895,1444,1580,6.565978,11.81110278,4.90E-01,17.741582,28.9280323,-5.411432438,32.34000437,11.25880772,5395.922666,486.7912637
46,1257,3791,9.553206,51,972,767,1555,6.363396,8.536900373,0.3492196822,14.21490434,35.02362685,8.236687612,31.70581651,22.49559181,2802.758178,289.6855986
47,7473,20901,9.499456,40,1488,576,1435,6.1582923,34.08319132,1.75E+00,39.71351775,99.14814642,-13.22727357,100.469245,36.52330131,16662.69838,1290.146171
48,10942,35003,9.48408,63,1307,1124,1610,6.304606,33.07326841,1.51E+00,113.3925922,34.09685485,-34.8347926,99.52867727,30.18463407,24397.59744,1660.465906
49,2153,7354,9.431556,45,1454,1376,1525,6.2866297,17.10693024,7.33E-01,26.75206874,13.98149933,-21.20362727,26.03984155,14.21787162,4800.587396,576.3847478
50,4769,9680,9.167452,41,1754,928,1505,5.8496914,20.67045492,0.9115936606,20.92541996,41.52487945,15.54859205,44.56177637,16.07856816,10633.5352,892.9483916
51,255,500,9.031352,19,1467,1355,1395,6.56647,6.484234723,0.1982885705,11.10126798,7.532997194,-4.24746399,nan,nan,568.578628,113.4850799
52,928,1603,9.007079,17,1655,1151,1385,6.570254,6.635184261,0.2331435611,12.27689914,21.96360789,25.85096415,20.05593603,5.866092186,2069.180262,322.5365428
53,1463,3615,8.88846,25,1742,1458,1435,6.0008464,10.20826627,4.12E-01,13.24349476,47.81736695,13.26659277,36.91969712,20.27695872,3262.080521,474.8454658
54,4746,12681,8.804851,35,754,1419,1480,5.841028,13.87492438,0.6178908866,58.98109367,25.49458399,30.80881961,60.52310833,35.90633106,10582.25164,872.0432453
55,2342,3581,8.632504,47,1512,1016,1535,6.101309,5.137514823,1.80E-01,25.49231489,33.52711587,11.2304615,44.1375144,15.88438617,5222.004497,444.9809711
56,3447,9702,8.383357,38,712,1488,1490,5.8366766,17.27730356,7.63E-01,45.16262052,26.21636995,-16.45757859,53.08756997,19.60701776,7685.845218,725.7072213
57,2976,6516,7.9164004,44,909,1555,1525,6.024257,15.45537102,6.65E-01,46.55014897,19.92842907,-12.1950875,46.27071551,17.43001512,6635.647047,668.9646814
58,1984,6484,7.8814673,47,1455,872,1535,5.729192,24.4328082,1.143500431,22.54400347,13.33239622,23.71560592,21.99872063,15.31874488,4423.764698,444.9809711
59,933,1860,7.5914807,36,1639,1645,1480,5.6926622,8.615401662,0.3631719374,8.453627321,25.15498404,34.83597027,15.86322414,12.13621265,2080.328862,283.7126997
60,329,536,7.4203267,57,2312,982,1585,5.700988,5.146807451,0.1826473817,11.93549807,9.454023841,-34.23565593,nan,nan,733.5779161,134.3902262
