ncl,mass from summing all,mass from summing mom0
1,7231517.0,8291270.5
2,70293100.0,42436172.0
3,47018332.0,42047664.0
4,11141786.0,7401095.0
5,42682850.0,38030670.0
6,18927180.0,14654092.0
7,34826210.0,15853260.0
8,12707199.0,8064145.0
9,4407035.5,2431408.2
10,49079840.0,25118226.0
11,10921876.0,10569741.0
12,2941289.8,2891383.5
13,10107435.0,9259277.0
14,1582161.4,1496538.6
15,174503.95,212656.25
16,3011690.2,1625885.8
17,1335762.4,1644895.2
18,499140.38,699920.06
19,402547.53,480505.2
20,679336.06,1096555.5
21,461620.72,319693.4
22,383153.44,531802.4
23,833740.94,858640.1
24,2473513.5,1325628.8
25,521516.84,769203.56
26,375051.88,513511.62
27,623258.6,643845.06
28,147638.75,208971.83
29,138272.84,132672.77
30,155486.56,233462.81
31,16008781.0,8734937.0
32,1187342.2,895619.9
33,206780.97,225812.7
34,547850.25,553341.25
35,252753.88,305365.62
36,316302.2,376540.4
37,361411.47,594240.0
38,730145.8,638312.0
39,111356.625,189895.56
40,428227.7,529567.7
41,1249079.4,747326.6
42,543974.4,595336.25
43,562247.56,768320.1
44,279567.2,242721.77
45,1343997.5,452427.12
46,132104.0,174349.14
47,54539.85,62594.258
48,387524.5,393065.5
49,26307.512,46382.49
50,139885.89,205329.05
51,79412.586,141081.47
52,597502.25,462807.53
53,65036.207,81794.27
54,62543.094,83083.2
55,12564.315,23777.72
56,68094.875,78180.58
57,1083145.6,879955.5
58,46266.453,67734.01
59,78814.69,84305.305
60,223289.02,219367.83
61,59106.023,65953.27
62,5998.1016,14320.429
63,78433.586,125975.51
64,76733.445,68189.0
65,18833.734,41752.406
66,90708.81,168256.2
67,43569.066,60073.55
68,43355.734,45337.855
69,27247.764,41530.68
70,9536.023,28491.197
71,39814.11,71388.28
72,5109.9473,13319.807
73,54473.67,98880.46
74,65519.535,87646.21
75,171423.28,162527.78
76,308667.06,305132.47
77,159719.66,131990.02
78,304347.4,334739.78
79,16686.953,29025.512
80,115097.125,167742.22
81,42067.926,63694.164
82,268754.34,283136.6
83,78116.09,125231.23
84,348875.56,442085.53
85,64754.164,62976.93
86,45335.793,61461.203
87,42430.27,78359.54
88,52139.65,79936.74
89,172269.81,99495.64
90,125104.38,125088.375
91,58383.7,46767.99
92,243907.31,246762.06
93,208009.25,208299.58
94,92020.08,71233.945
95,74414.68,120864.66
96,38331.46,37534.02
97,20763.582,26140.863
98,35486.805,38076.56
99,57152.14,77455.63
100,55260.176,80323.23
101,29332.227,56622.145
102,17550.998,21678.04
103,32548.926,49330.516
104,99092.3,104661.49
105,539.4496,1439.8607
106,18179.314,26347.824
107,143461.75,132404.48
108,235082.44,225169.42
109,39976.312,70584.2
110,109819.43,102141.03
111,9819.384,17797.91
112,6775.1914,15291.632
113,4561.058,10395.187
114,2378.7197,7023.496
115,66071.305,73182.73
116,10050.179,20363.406
117,4558.806,10976.074
118,43704.957,46750.715
119,111367.31,61572.668
120,26023.312,33664.492
121,165001.3,192962.83
122,2380.4343,7156.0293
123,134593.1,91539.305
124,231393.6,161584.47
125,206192.94,86555.2
126,72714.734,71448.2
127,2822.2202,7537.538
128,25429.766,42589.59
129,19968.81,32552.447
130,17437.44,24983.205
131,22847.76,30511.057
132,26443.344,28981.281
133,21229.508,24510.557
134,67633.59,54886.566
135,28992.125,31367.656
136,34217.89,51778.9
137,28751.695,38545.734
138,1746.3362,5064.824
139,7796.4165,13474.185
140,10343.764,19625.498
141,3086.4265,7972.611
142,13353.551,20522.217
143,35600.797,51185.117
144,12066.752,18023.195
145,8653.133,18529.236
146,11191.445,21916.488
147,60482.42,62103.0
148,108236.625,101538.36
149,52180.02,43655.145
150,2123.451,5114.5283
151,24500.254,24155.004
152,31722.795,39205.28
153,25229.188,30107.598
154,0.0,0.0
155,5735.611,10505.769
156,35920.168,41572.14
157,16713.572,32963.66
158,27006.764,33744.79
159,49035.07,61053.01
160,34751.625,34257.633
161,15959.954,24134.473
162,31834.713,31010.094
163,47350.6,50572.574
164,10832.205,22653.473
