ncl,mass from summing all,mass from summing mom0
1,7231517.0,8291270.5
2,70293100.0,42436172.0
3,47018332.0,42047664.0
4,11141786.0,7401095.0
5,42682850.0,38030670.0
6,18927180.0,14654092.0
7,34826210.0,15853260.0
8,12707199.0,8064145.0
9,4407035.5,2431408.2
10,49079840.0,25118226.0
11,10921876.0,10569741.0
12,2941289.8,2891383.5
13,10107435.0,9259277.0
14,1582161.4,1496538.6
15,174503.95,212656.25
16,3011690.2,1625885.8
17,1335762.4,1644895.2
18,499140.38,699920.06
19,402547.53,480505.2
20,679336.06,1096555.5
21,461620.72,319693.4
22,383153.44,531802.4
23,833740.94,858640.1
24,2473513.5,1325628.8
25,521516.84,769203.56
26,375051.88,513511.62
27,623258.6,643845.06
28,147638.75,208971.83
29,138272.84,132672.77
30,155486.56,233462.81
31,16008781.0,8734937.0
32,1187342.2,895619.9
33,206780.97,225812.7
34,547850.25,553341.25
35,252753.88,305365.62
36,316302.2,376540.4
37,361411.47,594240.0
38,730145.8,638312.0
39,111356.625,189895.56
40,428227.7,529567.7
41,1249079.4,747326.6
42,543974.4,595336.25
43,562247.56,768320.1
44,279567.2,242721.77
45,1343997.5,452427.12
46,132104.0,174349.14
47,387524.5,393065.5
48,26307.512,46382.49
49,139885.89,205329.05
50,79412.586,141081.47
51,597502.25,462807.53
52,65036.207,81794.27
53,62543.094,83083.2
54,68094.875,78180.58
55,1083145.6,879955.5
56,46266.453,67734.01
57,78814.69,84305.305
58,223289.02,219367.83
59,59106.023,65953.27
60,5998.1016,14320.429
61,78433.586,125975.51
62,18833.734,41752.406
63,90708.81,168256.2
64,43569.066,60073.55
65,9536.023,28491.197
66,39814.11,71388.28
67,54473.67,98880.46
68,65519.535,87646.21
69,171423.28,162527.78
70,308667.06,305132.47
71,159719.66,131990.02
72,304347.4,334739.78
73,115097.125,167742.22
74,42067.926,63694.164
75,268754.34,283136.6
76,78116.09,125231.23
77,348875.56,442085.53
78,45335.793,61461.203
79,42430.27,78359.54
80,52139.65,79936.74
81,125104.38,125088.375
82,243907.31,246762.06
83,208009.25,208299.58
84,74414.68,120864.66
85,57152.14,77455.63
86,55260.176,80323.23
87,29332.227,56622.145
88,99092.3,104661.49
89,143461.75,132404.48
90,235082.44,225169.42
91,39976.312,70584.2
92,109819.43,102141.03
93,66071.305,73182.73
94,165001.3,192962.83
95,231393.6,161584.47
96,25429.766,42589.59
97,35600.797,51185.117
98,108236.625,101538.36
99,49035.07,61053.01
100,49059.008,62292.03
