ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,total surface density,lte mass,err lte mass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,xco alphavir,lte alphavir,lte alphavir err,area,perimeter
1,2,1315,1341,43,6852,8.21E+04,3.19E+06,242.4,142.2,7.38E+06,13.65,9.74E+07,9.74E+06,79.08,3.654,31.33,31.33,47.78,11.37,46.92,3.553,0.9743,1.53E+04,961.6
2,2,685,1613,24,1.05E+04,9.94E+04,4.04E+06,266.6,119.4,9.35E+06,29.02,2.63E+08,2.63E+07,50.86,1.715,60.56,60.56,96.85,15.36,31.05,1.106,0.2203,2.35E+04,1102
3,2,1119,1357,33,2.97E+04,2.53E+05,9.36E+06,425.4,103.3,2.16E+07,51.48,1.08E+09,1.08E+08,51.08,2.12,73.52,62.28,108.6,26.92,15.16,0.3045,0.08522,6.63E+04,2282
4,2,762,1669,13,4659,2.70E+04,1.00E+06,139,98.32,2.32E+06,7.159,1.61E+07,1.61E+06,33.89,1.31,36.75,22.5,43.3,15.87,24.85,3.588,1.391,1.04E+04,803.4
5,2,1169,1434,30,2.81E+04,2.19E+05,7.99E+06,395.8,96.21,1.85E+07,45.01,8.04E+08,8.04E+07,48.42,1.719,68.99,66.15,108.4,24.73,15.94,0.3659,0.0948,6.27E+04,2246
6,2,1338,1463,30,1.54E+04,8.06E+04,2.76E+06,240.1,89.74,6.38E+06,16.57,1.02E+08,1.02E+07,41.61,1.678,71.13,44.78,90.03,26.73,28.28,1.764,0.5705,3.44E+04,1660
7,2,1059,445,40,1.13E+04,5.62E+04,1.98E+06,200.5,88.76,4.57E+06,18.24,8.07E+07,8.07E+06,30.87,1.187,51.44,51.44,81.74,22.67,19.72,1.118,0.3405,2.52E+04,1251
8,2,1276,1478,24,4866,3.23E+04,1.17E+06,151.9,84.51,2.71E+06,8.798,2.30E+07,2.30E+06,41.56,1.694,32.2,22.51,40.06,10.66,29.6,3.477,1.028,1.09E+04,719.7
9,2,1459,621,36,8525,2.08E+04,6.60E+05,122,83.99,1.53E+06,5.306,7.83E+06,7.83E+05,17.29,0.8045,18.02,18.02,23.41,4.409,5.312,1.035,0.2408,1.90E+04,1413
10,2,1136,408,38,1.43E+04,8.33E+04,2.84E+06,244,83.58,6.57E+06,20.06,1.28E+08,1.28E+07,35.38,1.214,62.87,29.92,68.27,9.337,15.07,0.7764,0.1419,3.19E+04,1816
11,2,649,1708,14,9170,7.83E+04,2.85E+06,236.7,81.07,6.59E+06,16.52,1.05E+08,1.05E+07,56.1,2.504,55.41,55.41,88.34,17.37,48.84,3.056,0.7274,2.05E+04,940.7
12,2,1322,1404,33,3304,1.41E+04,5.18E+05,100.4,81.03,1.20E+06,3.496,4.05E+06,4.05E+05,19.15,0.6847,32.89,32.89,50.47,8.094,17.9,5.293,1.069,7367,645.1
13,2,1131,469,37,1.43E+04,1.00E+05,3.15E+06,268,78.63,7.29E+06,20.93,1.48E+08,1.48E+07,49.77,2.231,74.03,74.03,119,32.21,46.86,2.314,0.6989,3.20E+04,1717
14,2,811,1685,28,2554,2.08E+04,7.26E+05,121.9,75.98,1.68E+06,1.595,2.59E+06,2.59E+05,46.61,1.585,22.46,14.72,23.73,6.619,35.57,23.05,7.008,5695,433
15,2,1279,1432,20,853,3193,1.20E+05,47.79,72.84,2.78E+05,0.8488,2.28E+05,2.28E+04,14.2,0.4602,20.63,20.63,28.54,9.795,23.95,29.17,10.6,1902,215
16,2,1281,1221,57,9812,6.95E+04,2.34E+06,223,71,5.40E+06,12.25,6.41E+07,6.41E+06,41.07,1.799,59.86,59.86,95.69,17.3,34.61,2.92,0.6551,2.19E+04,1024
17,2,1348,1341,68,2728,1.93E+04,6.99E+05,117.5,70.17,1.62E+06,3.686,5.76E+06,5.76E+05,45.26,1.896,28.66,28.66,43.12,4.032,63.31,17.75,2.85,6083,522.6
18,2,661,1627,39,2.05E+04,8.86E+04,2.75E+06,251.6,68.2,6.36E+06,10.41,6.41E+07,6.41E+06,30.42,1.274,171.8,171.8,278.8,100.9,46.93,4.659,1.792,4.58E+04,2619
19,2,624,1657,39,9245,5.32E+04,1.70E+06,195,66.36,3.93E+06,9.322,3.55E+07,3.55E+06,33.73,1.419,54.7,54.7,87.16,22.46,29.2,3.237,0.9354,2.06E+04,1183
20,2,1221,1325,41,6059,2.15E+04,6.51E+05,123.8,64.13,1.50E+06,3.604,5.25E+06,5.25E+05,45.97,2.343,63.1,63.1,101,23.17,164.4,47.14,12.73,1.35E+04,1350
21,2,1378,1401,36,2473,1.00E+04,3.50E+05,84.59,63.76,8.09E+05,1.936,1.52E+06,1.52E+05,16.52,0.6104,35.93,35.93,55.68,10.13,21.75,11.61,2.559,5514,456.9
22,2,1284,1129,70,9211,3.46E+04,1.11E+06,157.3,62.82,2.56E+06,6.19,1.53E+07,1.53E+06,25.92,1.204,26.31,21.78,34.7,5.464,10.55,1.762,0.3672,2.05E+04,1574
23,2,1413,1491,29,857,2662,8.68E+04,43.63,60.16,2.01E+05,0.368,7.15E+04,7145,14.63,0.5707,19.77,10.94,16.17,6.308,19.97,56.07,23.01,1911,227
24,2,1103,954,38,1.32E+04,3.71E+04,1.12E+06,162.9,59.65,2.58E+06,5.927,1.48E+07,1.48E+06,26.3,1.247,121.1,49.63,124.8,77.73,38.76,6.759,4.312,2.94E+04,2040
25,2,1067,1279,33,6374,3.45E+04,1.07E+06,157,59.64,2.47E+06,4.425,1.06E+07,1.06E+06,27.69,1.287,35.68,27.54,47.82,7.77,17.19,4.015,0.852,1.42E+04,1024
26,2,1192,916,59,3.36E+04,1.96E+05,5.75E+06,374.8,58.89,1.33E+07,22.98,2.95E+08,2.95E+07,55.05,2.718,96.9,96.9,156.5,38.63,41.35,1.86,0.5282,7.50E+04,3279
27,2,508,1863,13,4494,2.61E+04,8.29E+05,136.5,57.47,1.92E+06,2.33,4.32E+06,4.32E+05,35.29,1.443,36.26,36.26,56.25,8.789,42.35,18.79,3.809,1.00E+04,970.6
28,2,1311,1547,17,1262,3019,9.42E+04,46.47,57.04,2.18E+05,0.6563,1.38E+05,1.38E+04,10.15,0.4252,35.41,14.51,32.37,12.34,17.75,27.95,11.26,2814,346.4
29,2,1181,907,37,8828,3.69E+04,1.10E+06,162.4,56.73,2.55E+06,3.713,9.17E+06,9.17E+05,24.07,1.072,57.9,57.9,92.46,23.36,24.31,6.767,1.935,1.97E+04,1132
30,2,1537,1651,33,7030,1.96E+04,5.96E+05,118.4,56.13,1.38E+06,2.812,3.75E+06,3.75E+05,16.66,0.6356,80.53,80.53,129.7,21.56,30.31,11.14,2.321,1.57E+04,1117
31,2,1398,530,35,2784,5733,1.91E+05,64.03,55.98,4.42E+05,2.104,9.00E+05,9.00E+04,8.197,0.2853,47.32,23.26,50.97,14.49,8.974,4.409,1.363,6208,459.9
32,2,999,817,42,8555,3.39E+04,1.01E+06,155.7,55.9,2.32E+06,3.157,7.10E+06,7.10E+05,28.76,1.19,44.99,44.99,70.97,16.87,29.27,9.58,2.594,1.91E+04,1472
33,2,1165,394,57,3143,1.75E+04,5.34E+05,111.7,55.51,1.24E+06,2.09,2.50E+06,2.50E+05,48.79,1.98,45.49,45.49,71.81,14.13,160.3,79.28,18.64,7008,695.8
34,2,1234,1252,73,4611,2.44E+04,7.21E+05,132.1,55.41,1.67E+06,3.701,5.97E+06,5.97E+05,37.89,1.728,51.71,17.68,45.88,19.26,45.8,12.79,5.641,1.03E+04,797.4
35,2,1338,1596,18,967,2371,7.16E+04,41.18,55.23,1.66E+05,0.2961,4.74E+04,4740,13.17,0.4999,15.13,12.54,13.82,4.552,16.79,58.61,20.66,2156,325.5
36,2,1138,597,61,2677,1.18E+04,3.54E+05,91.8,55.13,8.18E+05,1.11,8.78E+05,8.78E+04,28.47,1.156,31.74,31.74,48.49,7.621,55.66,51.83,10.53,5969,537.6
37,2,564,1821,37,2.14E+04,1.41E+05,4.27E+06,317.1,54.93,9.86E+06,26.94,2.57E+08,2.57E+07,52.9,2.25,85.26,70.16,124.5,29.74,40.91,1.569,0.4278,4.76E+04,2022
38,2,1357,441,37,9523,2.70E+04,7.96E+05,138.9,54.64,1.84E+06,4.851,8.64E+06,8.64E+05,20.32,0.8471,112.6,23.73,82.17,91.18,21.36,4.552,5.085,2.12E+04,1502
39,2,1007,1056,37,1105,4761,1.52E+05,58.35,54.3,3.52E+05,0.5024,1.71E+05,1.71E+04,15,0.5849,22.03,13.91,22.35,7.803,16.53,34.01,12.63,2464,247.9
40,2,998,1224,45,7821,2.84E+04,8.58E+05,142.6,52.61,1.98E+06,2.454,4.71E+06,4.71E+05,20.46,0.9024,50.45,50.45,80.09,16.33,19.57,8.243,2.008,1.74E+04,1180
41,2,1220,1609,23,2277,7755,2.49E+05,74.47,51.58,5.75E+05,1.211,6.74E+05,6.74E+04,16.69,0.6459,25.46,16.8,28.63,8.813,16.07,13.72,4.564,5077,421.1
42,2,1143,642,48,1.42E+04,7.48E+04,2.15E+06,231.3,51.52,4.98E+06,10.62,5.11E+07,5.11E+06,36.45,1.66,65.65,65.65,105.2,26.31,32.56,3.167,0.9003,3.18E+04,1774
43,2,1199,1034,39,4624,1.07E+04,3.09E+05,87.55,51.33,7.14E+05,1.309,9.04E+05,9.04E+04,17,0.7088,67.39,22.38,60.62,42.28,28.43,22.46,15.93,1.03E+04,1033
44,2,1460,1987,61,897,2135,6.51E+04,39.08,51.31,1.50E+05,1.002,1.46E+05,1.46E+04,8.412,0.3346,19.55,11.55,16.93,1.535,9.226,9.519,1.491,2000,238.9
45,2,1444,1895,57,2420,6312,1.94E+05,67.19,50.25,4.48E+05,1.18,5.12E+05,5.12E+04,11.81,0.4904,28.93,28.93,43.6,10.18,15.71,13.76,3.678,5396,486.8
46,2,767,972,51,1257,3791,1.09E+05,52.07,47.77,2.52E+05,0.3956,9.65E+04,9650,8.537,0.3492,35.02,35.02,54.14,19.67,18.13,47.35,18.26,2803,289.7
47,2,576,1488,40,7473,2.09E+04,5.91E+05,122.3,47.5,1.37E+06,1.179,1.56E+06,1.56E+05,34.08,1.75,99.15,99.15,160.2,36.17,157.7,138.3,36.99,1.67E+04,1290
48,2,1124,1307,63,1.09E+04,3.50E+04,1.00E+06,158.2,47.42,2.31E+06,4.557,1.02E+07,1.02E+06,33.07,1.515,113.4,34.1,99.53,30.17,54.54,12.37,4.107,2.44E+04,1660
49,2,1376,1454,45,2153,7354,2.13E+05,72.52,47.16,4.91E+05,0.6312,3.00E+05,3.00E+04,17.11,0.7333,26.75,13.98,26.04,12.64,17.98,29.44,14.81,4801,576.4
50,2,928,1754,41,4769,9680,2.73E+05,83.2,45.84,6.32E+05,1.393,8.51E+05,8.51E+04,20.67,0.9116,41.52,41.52,65.16,15.3,51.03,37.87,10.23,1.06E+04,892.9
51,2,1355,1467,19,255,500,1.54E+04,18.91,45.16,3.55E+04,0.1109,3813,381.3,6.484,0.1983,11.1,7.533,nan,4.601,nan,nan,nan,568.6,113.5
52,2,1151,1655,17,928,1603,4.79E+04,33.86,45.04,1.11E+05,0.2985,3.20E+04,3196,6.635,0.2331,21.96,21.96,31.05,3.222,14.31,49.55,7.944,2069,322.5
53,2,1458,1742,25,1463,3615,1.04E+05,50.85,44.44,2.41E+05,0.4326,1.01E+05,1.01E+04,10.21,0.4123,47.82,47.82,75.71,18.3,37.97,90.72,24.84,3262,474.8
54,2,1419,754,35,4746,1.27E+04,3.57E+05,95.23,44.02,8.24E+05,1.019,8.13E+05,8.13E+04,13.87,0.6179,58.98,25.49,60.52,35.78,16.38,16.61,10.07,1.06E+04,872
55,2,1016,1512,47,2342,3581,1.04E+05,50.61,43.16,2.41E+05,0.7648,1.79E+05,1.79E+04,5.138,0.1796,33.53,33.53,51.57,15.39,6.538,8.835,2.848,5222,445
