ncl,mass from summing all,mass from summing mom0
1,17400252.0,22915810.0
2,65018244.0,44552628.0
3,87094780.0,89592300.0
4,15259931.0,11999682.0
5,76976424.0,79246200.0
6,29955056.0,29929022.0
7,50738630.0,31340936.0
8,18967432.0,15186936.0
9,12590495.0,10080943.0
10,46665084.0,34613176.0
11,28961446.0,28509064.0
12,6560093.0,6059997.5
13,44842850.0,39292024.0
14,1508110.1,2796154.8
15,1622202.5,1473327.9
16,19688720.0,22911036.0
17,5602334.0,6514745.5
18,14473966.0,19781778.0
19,16757452.0,17574774.0
20,6295018.0,7066185.5
21,3176717.8,3502227.0
22,11197440.0,11720598.0
23,469625.7,687837.5
24,12784351.0,11640058.0
25,6283255.5,8573377.0
26,32833298.0,46159756.0
27,2531589.8,4343395.5
28,1324047.8,1269623.8
29,5097533.0,7267230.0
30,4359010.0,5572243.0
31,6097361.5,3950070.5
32,3974664.8,6324272.0
33,2754766.8,4130395.0
34,6096723.5,7515800.5
35,423911.25,552680.9
36,1232557.0,2116537.8
37,60516530.0,52966196.0
38,9422720.0,9832330.0
39,653400.44,941920.75
40,2891123.5,4785536.5
41,1897998.4,2315761.5
42,17592678.0,21983230.0
43,2007683.2,2630004.5
44,3984043.2,1969988.4
45,2152029.5,2352999.0
46,537035.4,808539.75
47,1102248.8,2203805.2
48,7108997.0,9381109.0
49,736527.4,1245400.9
50,2428441.8,2879900.8
51,226305.23,220226.73
52,556289.1,601428.9
53,574045.0,893014.75
54,1141280.8,2082778.8
55,1861540.2,1567962.6
56,1693443.1,2399557.5
57,805594.2,1264885.4
58,557817.4,1035200.9
59,188859.58,327038.94
60,524462.6,367066.62
61,183253.52,351101.28
62,196119.95,242218.67
63,35152.637,74800.984
64,234730.33,356637.9
65,109226.6,243215.12
66,306676.44,376638.3
67,217152.78,350524.88
68,603601.06,628711.25
69,361682.56,469775.25
70,58648.31,141928.23
71,115172.375,223732.72
72,162886.98,241954.72
73,390143.5,507537.47
74,130703.08,213878.6
75,32491.514,79185.73
76,85127.984,147948.36
77,195364.67,315016.12
78,5235.5215,13837.252
79,92786.734,209578.4
80,761477.1,948686.06
81,262687.62,311237.06
82,40624.57,80692.45
83,325782.66,429855.7
84,239276.5,367380.62
85,85701.8,157374.78
86,277488.5,338176.03
87,424265.62,930260.2
88,72585.02,134318.56
89,54025.938,143640.9
90,228196.5,389353.56
91,192926.81,222576.05
92,121363.71,271870.25
93,35503.562,74726.15
94,184770.4,335293.62
95,191682.81,343312.66
96,294309.9,526223.9
97,484374.2,823692.56
98,97178.35,168738.28
99,3804073.5,2554062.5
100,368391.88,641117.5
101,108657.84,239553.88
102,223535.36,405026.0
103,6106.966,18922.318
104,157020.08,234034.84
105,121717.625,254574.83
106,45741.32,99732.72
107,163524.61,215833.44
108,110748.375,151099.0
109,186906.3,391665.47
110,274547.53,413468.38
111,308665.25,533620.56
112,43030.062,86606.58
113,114047.984,197758.55
114,73448.56,186532.69
115,136394.05,271763.06
116,177991.34,257229.44
117,133196.67,194721.72
118,21833.135,53831.016
119,272691.97,559348.7
120,109579.555,184273.9
121,80264.086,129691.93
122,34007.58,80423.766
123,16071.403,42037.496
124,57616.98,102092.22
125,419695.66,493727.6
126,105311.945,252163.3
127,42895.793,83268.71
128,588122.0,499138.28
129,30367.033,79092.43
130,4539.357,14677.657
131,79257.01,164261.55
132,14435.461,28803.816
133,202126.98,247581.08
134,69690.46,134037.45
135,5731.373,17112.91
136,170195.61,295827.97
137,13450.211,33034.36
138,16638.572,45935.242
139,1249.7479,4272.093
140,6564.509,18876.121
141,68494.66,124214.86
142,4114.24,12419.766
143,19157.701,48516.145
144,22577.398,53163.492
145,1483.301,4918.692
146,32128.695,74400.7
147,4412.3975,12243.544
148,58783.664,163476.95
149,325341.72,442140.38
150,253491.48,398759.66
151,40174.773,105482.12
152,128523.81,208856.56
153,677.0626,2463.538
154,4188.2666,13284.925
155,148755.7,223156.84
156,1912.3472,5577.201
157,377763.4,368078.62
158,418.64618,1570.3079
159,366081.72,289751.12
160,15169.311,34968.715
161,164781.39,266878.78
162,41566.027,72916.51
163,13146.976,34900.492
164,3744.1743,9249.438
