ncl,mass from summing all,mass from summing mom0
1,17485734,23325816
2,65073224,44831564
3,87341770,90507070
4,15268979,12042810
5,77139450,79857950
6,30003344,30121222
7,50758668,31431090
8,18975868,15230876
9,12596274,10112180
10,46751056,34939484
11,29018912,28765288
12,6564881,6084771
13,44903330,39569710
14,1587484.6,2984319
15,1622490.5,1474837.4
16,19732486,23114554
17,5611214,6560258
18,14704151,20330706
19,16820584,17857614
20,6320753.5,7130456
21,3182582.2,3529830
22,11230087,11882473
23,472649.62,704232.94
24,12873959,11677421
25,6347915,8813928
26,33210744,47592716
27,2621368.2,4565909
28,1324680.1,1272708.1
29,5222825,7576104.5
30,4378671,5647552
31,6097361.5,3950070.5
32,4083601.5,6519054
33,2780973,4221184.5
34,6115795,7619008
35,429766.12,582682.56
36,1260839,2262210
37,60650570,53490896
38,9441546,9906728
39,669123.06,963022.6
40,2986865,5017086
41,1905414.1,2352591
42,17667412,22345238
43,2033501.2,2695889.5
44,3984043.2,1969988.4
45,2153941.5,2361682.8
46,544802.56,848229.5
47,1202039,2486405.5
48,7162733,9552058
49,757260.25,1330700.8
50,2440550,2930457
51,226390.11,220728.2
52,556761.7,603870.56
53,577855.25,909005.94
54,1184210.8,2170578.8
55,1863486.2,1576950.8
56,1707561.1,2468075.5
57,822373.6,1340261.1
58,577248.1,1139686.9
59,194408.81,356154.34
60,524462.6,367066.62
61,191597.73,374747.84
62,196119.95,242218.67
63,46570.98,67909.62
64,234911.97,357448.34
65,128681.49,275069.1
66,308134.72,383952.2
67,218640.8,358886.97
68,604326.25,630174.3
69,363657.34,479764.47
70,134461.92,38119.33
71,116531.91,230900.73
72,179169.81,231207.28
73,392169.6,517784.28
74,134138.97,231223.19
75,54998.246,56203.965
76,86254.36,152094.89
77,197237.89,324832.5
78,16173.104,1136.1101
79,98759.266,241732.31
80,762837.6,955572.8
81,262908.38,312336.72
82,44254.047,100698.586
83,326560.5,433540
84,240761.08,372478.5
85,89490.87,169531.19
86,277900.72,340059.56
87,454524.38,1079709.5
88,73361.17,137389.53
90,231418.16,397392.9
91,193119.67,223551.27
92,127569.84,305091.22
93,59558.65,45964.79
94,189301.56,358495.66
95,196782.56,368318.53
96,300526.78,547616.75
97,504481.3,889914.3
98,98750.29,177822.75
99,3805780,2563272.2
100,381212.06,671638.9
101,129270.53,274716.4
102,226856.36,422524.12
104,158792.3,245619.97
105,127660.27,283151.5
106,52140.1,114885.016
107,164196.86,219524.61
108,111295.914,153583.61
109,265742.75,291922
110,276539.7,418794.34
111,321649.84,543074.56
112,46917.215,104030.586
113,115745.31,202920.03
114,91196.695,221087.61
115,148797.12,314407.34
116,180242.95,269489.6
117,133347.33,195455.62
118,24985.84,52460.312
119,302326.72,638011.9
120,113482.6,195423.27
121,82197.625,140758.31
122,41996.562,99225.13
123,30247.588,44749.387
124,58435.152,106998.36
125,420493.06,498144.88
126,133261.44,276594.1
127,44294.355,91182.875
128,588122,499138.28
129,78794.8,13961.805
131,82554.93,182725.69
132,18967.777,34173.84
133,203058.62,250244.7
134,75264.23,142222.78
136,176766.77,332302.9
137,19743.879,29993.35
138,19741.857,61841.61
141,69386.984,129185.76
142,7308.348,24524.229
143,38412.83,6487.7383
144,30052.193,55999.53
146,63006.223,24474.04
148,109485.5,143887.05
149,328812.25,453012.72
150,262711.16,414828.72
152,129131.36,212053.61
154,13786.734,9775.806
155,149238.55,223491.53
157,377763.4,368078.62
159,366081.72,289751.12
160,17122.66,45905.582
161,167569.75,266003.97
162,44352.098,88712.375
163,24160.066,21555.885
