ID,RA,DEC,vctr,r,fwhm,lum,mlum,mvir,vel disp,area,surface density,velocity metric
B1,0 19 58.6,59 18 40.3,-366.6,11.8,4,25118864315096,63095.73445,39810.71706,1.6985138,437.4353611,91.00937098,0.2444872144
B2,0 20 00.9,59 19 02.2,-367.4,22.8,5.7,3981071706,39810.71706,125892.5412,2.420382166,1633.125525,77.08687376,0.2569407819
B4,0 20 12.0,59 20 02.5,-342.7,29.4,5.6,1.58489E+20,79432.82347,158489.3192,2.377919321,2715.467026,58.36540003,0.192329942
B5,0 20 17.3,59 18 42.0,-334,26.2,6.2,1.99526E+25,100000,199526.2315,2.632696391,2156.514861,92.52253954,0.2645454307
B6,0 20 19.6,59 20 48.0,-338.2,17.7,6,3.16228E+27,125892.5412,125892.5412,2.547770701,984.2295624,127.9097336,0.3667308216
B8,0 20 21.7,59 17 09.6,-339.5,24.1,6.1,3.16228E+69,316227.766,158489.3192,2.590233546,1824.668429,86.85924342,0.2783945984
B7,0 20 22.1,59 20 04.9,-329.3,18.3,4,1E+18,79432.82347,50118.72336,1.6985138,1052.087964,47.63738878,0.1576474935
B9a,0 20 22.3,59 21 05.6,-330.5,15.9,3,125892541179417,63095.73445,25118.86432,1.27388535,794.2260388,31.62684562,0.1020618796
B9b,0 20 22.5,59 21 21.4,-328.7,24.5,4.3,5.01187E+18,79432.82347,79432.82347,1.825902335,1885.74099,42.12287047,0.1360783404
B9c,0 20 23.7,59 21 17.9,-333.8,27.2,5.5,2.51189E+22,100000,158489.3192,2.335456476,2324.275909,68.18868562,0.200527829
B11a,0 20 27.2,59 16 53.8,-334,22.1,10.4,2.51189E+76,316227.766,501187.2336,4.416135881,1534.385268,326.6371518,0.8824550281
B11b,0 20 27.3,59 17 05.0,-331.1,14.9,7.4,3.16228E+52,251188.6432,158489.3192,3.142250531,697.464985,227.2362379,0.6626670066
B11c,0 20 28.1,59 16 57.0,-325.1,17.8,11.2,1.99526E+64,251188.6432,398107.1706,4.755838641,995.3822164,399.9540719,1.270674224
B11d,0 20 29.0,59 17 04.6,-327.4,18.4,7.9,3.98107E+25,100000,199526.2315,3.354564756,1063.617609,187.5920724,0.6115817772
