ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,total surface density,lte mass,err lte mass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,errR,xco alphavir,lte alphavir,lte alphavir err,area,perimeter
1,2,685,1612,24,5602,2.04E+04,5.07E+04,34.59,6.005,1.17E+05,358.6,4.07E+07,4.07E+06,24.9,0.838,35.73,35.73,55.35,16.88,339.2,0.9777,0.3206,1.55E+04,887
2,2,1055,442,41,3909,1.58E+04,3.72E+04,30.37,4.873,8.59E+04,385.4,3.20E+07,3.20E+06,19.65,0.5843,30.2,30.2,45.82,9.249,238.6,0.6398,0.1491,1.06E+04,692.9
3,2,1120,449,37,5849,1.53E+04,3.89E+04,29.96,4.525,9.00E+04,320.3,2.79E+07,2.79E+06,33.32,1.471,66.48,66.48,106.6,37.74,1524,4.916,1.86,1.79E+04,1520
4,2,1130,408,38,4379,1.71E+04,3.92E+04,31.68,4.405,9.06E+04,357.3,3.13E+07,3.13E+06,20.64,0.7056,45.11,19.14,44.4,15.85,241.6,0.6988,0.2635,1.21E+04,836.2
5,2,577,1867,42,6569,2.09E+04,4.98E+04,34.96,4.307,1.15E+05,338.7,3.77E+07,3.77E+06,26.64,1.057,44.35,44.35,69.91,15.08,499.6,1.524,0.382,2.11E+04,1496
6,2,1459,1986,61,1916,4306,1.08E+04,15.88,4.225,2.51E+04,392.1,9.50E+06,9.50E+05,13.14,0.4765,33.22,33.22,51.04,16.79,407.4,1.074,0.3773,6602,758.6
7,2,759,1668,13,1791,5704,1.42E+04,18.27,3.769,3.27E+04,333.2,1.06E+07,1.06E+06,19.63,0.8288,20.11,15.8,23.01,7.13,313.6,0.9728,0.3273,5855,507.7
8,2,1281,1480,25,3130,8830,2.13E+04,22.74,3.674,4.91E+04,313.1,1.49E+07,1.49E+06,24.81,0.9763,31.53,31.53,48.13,18.56,698.6,2.306,0.9365,9135,695.8
9,2,1062,406,40,2147,5410,1.25E+04,17.8,3.663,2.90E+04,323,9.05E+06,9.05E+05,18.83,0.8722,29.04,29.04,43.8,13.62,621.7,1.989,0.6753,6694,719.7
10,2,1106,951,38,2026,4163,9889,15.61,3.418,2.29E+04,340.5,7.53E+06,7.53E+05,9.753,0.347,34.99,13.27,30.28,21.14,146,0.4431,0.3141,6147,666
11,2,1440,616,34,3626,6544,1.68E+04,19.57,3.183,3.87E+04,330.5,1.24E+07,1.24E+06,18.59,0.8095,20.66,15.41,23.04,7.466,238.2,0.745,0.2608,1.23E+04,1168
12,2,570,1784,44,973,1906,4950,10.56,2.809,1.14E+04,342.1,3.79E+06,3.79E+05,9.91,0.3647,19,15.27,21.36,5.133,212.4,0.6417,0.1736,3951,561.5
13,2,1014,1515,47,834,904,1914,7.275,2.797,4424,343,1.47E+06,1.47E+05,4.829,0.1266,20.71,14.37,21.82,12.46,133.2,0.4014,0.2336,2593,301.6
14,2,857,2207,55,2707,6025,1.28E+04,18.78,2.749,2.97E+04,381,1.09E+07,1.09E+06,13.05,0.4681,33.36,27.36,45.85,6.249,304.8,0.8268,0.1518,7956,674.9
15,2,1206,1475,28,3607,9052,2.21E+04,23.02,2.698,5.10E+04,279.3,1.38E+07,1.38E+06,22.29,0.9778,29.71,29.71,44.97,12.03,507.5,1.878,0.5611,1.23E+04,1066
16,2,1404,525,35,2254,4367,9374,15.99,2.696,2.17E+04,345.6,7.24E+06,7.24E+05,9.675,0.3165,37.87,22.24,43.76,17.74,219,0.6549,0.2768,7048,618.2
17,2,1282,1095,73,2025,3823,9620,14.96,2.633,2.22E+04,287.1,6.18E+06,6.18E+05,13.72,0.5903,47.33,47.33,74.89,29.37,734.1,2.642,1.093,6758,752.6
18,2,1129,1332,32,1.84E+04,4.79E+04,1.22E+05,52.93,2.614,2.83E+05,272.5,7.46E+07,7.46E+06,31.35,1.441,86.42,86.42,139.4,49.01,560.8,2.127,0.8019,6.01E+04,3963
19,2,1353,1477,32,6182,1.49E+04,3.77E+04,29.51,2.603,8.70E+04,280.2,2.36E+07,2.36E+06,27.27,1.185,57.66,57.66,92.05,22.47,911.3,3.361,0.9337,2.12E+04,1690
20,2,898,2214,55,1338,2010,4727,10.85,2.585,1.09E+04,417.6,4.41E+06,4.41E+05,10.27,0.4546,21.76,19.42,28.4,7.6,317.3,0.7853,0.2349,3985,409.1
