ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,errR,area,perimeter
1,2,1315,1341,43,5869,6.75E+04,5.66E+05,219.7,28.44,1.31E+06,78.64,3.617,18.74,31.1,35.07,11.97,1.31E+04,887
2,2,685,1613,24,9486,8.58E+04,7.42E+05,247.7,23.88,1.71E+06,51.28,1.756,36.72,58.38,73.17,15.98,2.12E+04,967.6
3,2,1119,1357,33,3.27E+04,2.51E+05,1.92E+06,423.2,20.66,4.44E+06,50.36,2.178,71.43,61,105.8,27.77,7.29E+04,2673
4,2,762,1669,13,4031,2.24E+04,1.78E+05,126.6,19.66,4.11E+05,31.35,1.311,35.73,20.97,40.86,10.24,8988,725.7
5,2,1169,1434,30,2.77E+04,1.98E+05,1.50E+06,376.1,19.24,3.47E+06,42.89,1.61,69.81,64.81,107.9,25.49,6.18E+04,2338
6,2,1338,1463,30,1.58E+04,7.57E+04,5.63E+05,232.7,17.95,1.30E+06,41.54,1.658,55.03,70.84,99.96,30.15,3.53E+04,1705
7,2,1059,445,40,1.03E+04,4.53E+04,3.43E+05,180,17.75,7.92E+05,28.11,1.148,29.81,50.43,60.52,19.34,2.30E+04,1218
8,2,1276,1478,24,4166,2.58E+04,2.01E+05,135.8,16.9,4.65E+05,41.54,1.678,31.3,22.8,39.7,12.95,9289,689.9
9,2,1459,621,36,6376,1.46E+04,1.01E+05,102.1,16.8,2.34E+05,17.18,0.8068,11.92,17.9,15.92,3.67,1.42E+04,1383
10,2,1136,408,38,3.09E+04,1.85E+05,1.27E+06,363.4,16.72,2.93E+06,67.86,3.537,46.1,154.7,136.1,71.2,6.88E+04,2992
11,2,649,1708,14,7854,6.40E+04,5.00E+05,213.9,16.21,1.16E+06,53.32,2.426,27.7,53.85,60.26,10.15,1.75E+04,1051
12,2,811,1685,28,2201,1.66E+04,1.25E+05,109,15.2,2.88E+05,43.83,1.564,21.72,14.1,22.34,8.28,4908,409.1
13,2,1279,1432,20,780,2759,2.19E+04,44.42,14.57,5.07E+04,14.32,0.48,11.34,21.11,17.96,10.87,1739,206.1
14,2,1281,1221,57,1.28E+04,7.56E+04,5.43E+05,232.4,14.2,1.25E+06,43.86,2.085,35.97,81.37,86.16,41.52,2.85E+04,1598
15,2,1348,1341,68,2122,1.52E+04,1.19E+05,104.2,14.03,2.74E+05,30.45,1.058,19.8,27.05,33.24,3.139,4731,364.3
16,2,661,1627,39,2.30E+04,9.93E+04,6.80E+05,266.5,13.64,1.57E+06,30.62,1.279,31.46,144.2,108.1,79.59,5.12E+04,2765
17,2,1378,1401,36,2198,8267,6.14E+04,76.89,12.75,1.42E+05,16.61,0.6275,19.59,33.14,37.48,12.6,4901,418.1
18,2,1413,1491,29,669,1972,1.40E+04,37.55,12.03,3.23E+04,11.4,0.3934,16.1,10.31,11.33,3.57,1492,197.1
19,2,1103,954,38,1.13E+04,2.78E+04,1.82E+05,141,11.93,4.20E+05,15.47,0.6633,90.57,31.71,85.31,50.74,2.52E+04,2114
20,2,1192,916,59,2.80E+04,1.56E+05,9.89E+05,334.4,11.78,2.29E+06,59.37,3.089,32.95,65.07,73.18,27.72,6.24E+04,3034
21,2,508,1863,13,2367,1.77E+04,1.24E+05,112.6,11.49,2.86E+05,33.61,1.349,18.15,33.63,36.1,16.9,5278,403.2
22,2,1311,1547,17,1021,2148,1.46E+04,39.19,11.41,3.37E+04,10.19,0.4268,10.77,22.88,18.46,14.76,2277,316.6
23,2,1537,1651,33,5694,1.39E+04,9.09E+04,99.59,11.23,2.10E+05,13.74,0.5858,31.94,76.87,78.6,34.38,1.27E+04,1093
24,2,1398,530,35,2359,4571,3.26E+04,57.18,11.2,7.52E+04,8.276,0.2992,43.3,22.53,47.62,20.68,5260,433
25,2,999,817,42,3778,1.89E+04,1.25E+05,116.2,11.18,2.89E+05,25.7,1.106,21.7,38.46,43.53,18.49,8424,561.5
26,2,1165,394,57,2215,1.22E+04,8.03E+04,93.23,11.1,1.86E+05,45.58,1.89,14.28,41.67,35.52,20.23,4939,451
27,2,1234,1252,73,3630,1.66E+04,1.06E+05,108.8,11.08,2.44E+05,34.99,1.684,53.17,16.08,44.15,38.7,8094,636.1
28,2,1338,1596,18,574,1343,9096,30.99,11.05,2.10E+04,11.68,0.4767,13.65,10.6,8.481,3.022,1280,182.2
29,2,564,1821,37,1.71E+04,9.95E+04,6.50E+05,266.8,10.99,1.50E+06,51.43,2.223,86.62,70.01,125.3,28.23,3.82E+04,2091
30,2,1357,441,37,4418,1.26E+04,8.27E+04,95.01,10.93,1.91E+05,15.21,0.6157,51.89,21.23,51,30.27,9851,719.7
31,2,1007,1056,37,863,3552,2.45E+04,50.4,10.86,5.67E+04,13.62,0.5672,19.81,13.06,19.32,6.034,1924,218
32,2,998,1224,45,5122,1.80E+04,1.18E+05,113.4,10.52,2.74E+05,17.04,0.7204,25.81,48.37,54.67,21.32,1.14E+04,657
33,2,1460,1987,61,613,1469,9751,32.41,10.26,2.25E+04,6.91,0.2843,18.8,10.99,15.36,1.65,1367,185.2
34,2,1444,1895,57,1775,4454,2.96E+04,56.44,10.05,6.84E+04,10.19,0.4109,18.86,24.62,30.28,7.005,3958,379.3
35,2,767,972,51,997,2511,1.55E+04,42.38,9.553,3.59E+04,8.558,0.3527,12.65,32.34,27.77,21.76,2223,274.8
36,2,576,1488,40,3882,8997,5.50E+04,80.21,9.499,1.27E+05,17.75,0.8675,23.52,69.84,63.48,42.25,8656,836.2
37,2,1124,1307,63,2615,8612,5.47E+04,78.48,9.484,1.27E+05,18.97,0.8406,46.28,15.06,39.14,7.604,5831,561.5
38,2,1376,1454,45,1268,4382,2.76E+04,55.98,9.432,6.37E+04,17.15,0.7383,21.24,12.81,20.21,8.595,2827,289.7
39,2,928,1754,41,2942,5271,3.23E+04,61.4,9.167,7.46E+04,14.01,0.6513,13.04,36.02,30.51,15.59,6560,663
40,2,1151,1655,17,681,1168,7444,28.9,9.007,1.72E+04,5.085,0.1686,11.26,20.71,17.5,2.753,1518,235.9
41,2,1458,1742,25,711,1788,1.16E+04,35.76,8.888,2.69E+04,8.546,0.3481,12.79,15.92,15.1,3.627,1585,197.1
42,2,1419,754,35,2306,5766,3.59E+04,64.22,8.805,8.31E+04,10.5,0.4754,29.16,21.89,37.1,12.31,5142,543.5
43,2,994,910,43,1054,2717,1.65E+04,44.08,8.738,3.81E+04,14.11,0.6702,12.8,10.63,7.033,6.213,2350,295.7
44,2,1440,452,38,2036,4190,2.60E+04,54.74,8.633,6.01E+04,10.4,0.4564,22.84,16.26,25.91,6.878,4540,519.6
45,2,1016,1512,47,1915,2479,1.54E+04,42.11,8.633,3.57E+04,5.166,0.1864,20.23,26.81,33.51,14.02,4270,409.1
46,2,1207,1267,51,1199,3445,2.11E+04,49.64,8.631,4.88E+04,13.85,0.6134,41.7,13.92,34.97,31.31,2673,379.3
47,2,1175,479,37,1712,3961,2.40E+04,53.22,8.577,5.53E+04,15.77,0.7397,11.95,27.96,23.93,7.665,3817,436
48,2,556,1384,29,1482,3971,2.43E+04,53.29,8.477,5.62E+04,17.49,0.8169,16.46,23.82,26.94,10.16,3304,400.2
49,2,1077,1342,51,5532,1.30E+04,7.91E+04,96.42,8.393,1.83E+05,17.66,0.8455,42.52,52.26,74.57,17.44,1.23E+04,1111
50,2,1488,712,38,2183,5217,3.13E+04,61.08,8.383,7.24E+04,12.14,0.5362,33.05,24.66,42.93,14.19,4867,456.9
51,2,1309,1033,65,2925,5333,3.18E+04,61.76,8.379,7.34E+04,19.55,0.9634,45.77,11.11,32.14,21.77,6522,794.4
52,2,1213,1418,22,517,1254,7535,29.95,8.347,1.74E+04,15.82,0.7473,27.99,6.691,13.58,24,1153,227
53,2,1219,536,40,1613,3765,2.22E+04,51.89,7.919,5.12E+04,14.05,0.6589,12.99,24.53,23.05,15.17,3597,492.8
54,2,1555,909,44,1969,4230,2.60E+04,55,7.916,6.00E+04,14.01,0.6457,42.86,18.28,41.96,27.24,4390,480.8
55,2,872,1455,47,1384,3817,2.25E+04,52.25,7.881,5.20E+04,17.59,0.8302,18.13,9.777,12.58,10.55,3086,462.9
56,2,572,1722,31,453,934,5591,25.84,7.876,1.29E+04,6.874,0.2733,8.657,15.51,6.671,6.32,1010,179.2
57,2,947,1322,44,948,1362,8108,31.21,7.865,1.87E+04,8.735,0.3856,12.33,30.76,26.31,20.58,2114,328.5
58,2,1198,1553,26,445,521,3111,19.3,7.859,7190,7.279,0.375,16.91,5.007,nan,10.17,992.2,191.1
59,2,1326,1391,50,463,790,4725,23.77,7.693,1.09E+04,14.12,0.682,4.93,23.53,nan,71.44,1032,215
60,2,1053,980,36,316,571,3462,20.21,7.69,8001,5.259,0.214,9.911,15.13,9.275,10.93,704.6,125.4
61,2,1645,1639,36,479,722,4274,22.72,7.591,9877,6.876,0.2774,5.725,19.86,nan,67.53,1068,188.1
62,2,795,1503,51,550,989,5822,26.6,7.419,1.35E+04,5.229,0.2013,30,8.935,19.95,18.25,1226,235.9
63,2,1493,1597,39,288,455,2785,18.04,7.381,6436,nan,nan,12.93,9.739,4.74,11.09,642.2,125.4
64,2,1651,1576,39,532,676,4026,21.99,7.352,9305,nan,nan,9.725,11.52,nan,8.822,1186,200.1
65,2,963,1416,56,451,667,3925,21.84,7.339,9071,5.156,0.1836,7.251,21.63,10.21,8.332,1006,188.1
66,2,831,1125,43,745,1544,9124,33.23,7.3,2.11E+04,8.77,0.3944,8.933,24.48,16.36,14.57,1661,221
67,2,829,1987,47,631,769,4637,23.45,7.29,1.07E+04,nan,nan,12.43,20.65,19.18,13.12,1407,244.9
68,2,474,1955,13,247,419,2421,17.31,7.256,5595,5.329,0.2274,8.899,9.674,nan,1.644,550.7,113.5
69,2,1555,852,42,701,869,5077,24.93,7.24,1.17E+04,5.217,0.198,9.176,28.79,19.69,23.29,1563,268.8
70,2,1302,1638,54,509,692,4160,22.25,7.224,9613,nan,nan,12.6,15.11,13.89,3.651,1135,167.2
71,2,1133,325,60,212,499,2926,18.89,7.194,6761,10.76,0.5442,5.056,8.482,nan,1.124,472.7,110.5
72,2,963,1991,50,406,621,3644,21.07,7.138,8422,5.192,0.1917,13.96,8.734,3.438,25.8,905.3,152.3
73,2,1432,799,31,738,779,4498,23.6,7.126,1.04E+04,5.319,0.2247,27.44,13.89,26.41,11.66,1646,277.7
74,2,915,2365,40,446,499,2935,18.89,7.118,6783,nan,nan,15.91,7.388,0.5539,199.3,994.5,173.2
75,2,861,1578,44,549,866,4986,24.89,7.115,1.15E+04,5.239,0.2033,23.24,11.69,20.19,15.03,1224,212
76,2,454,1759,41,345,630,3682,21.23,7.109,8510,5.332,0.2279,12.19,9.781,2.17,21.39,769.3,134.4
77,2,921,1160,42,523,747,4258,23.11,7.062,9841,7.144,0.3367,9.705,14.94,8.538,11.69,1166,197.1
78,2,977,1308,35,332,442,2611,17.78,6.989,6035,nan,nan,12.09,8.588,nan,5.388,740.3,146.3
79,2,1412,1392,50,293,755,4381,23.24,6.981,1.01E+04,8.89,0.4219,7.527,13.65,nan,3.663,653.3,128.4
80,2,931,1130,46,366,366,2118,16.18,6.977,4894,nan,nan,27.81,10.59,21.63,14.44,816.1,200.1
81,2,1444,716,35,341,562,3287,20.05,6.958,7596,5.253,0.2064,12.45,9.524,1.767,29.55,760.3,140.4
82,2,1110,1134,37,1138,1978,1.15E+04,37.61,6.954,2.67E+04,5.346,0.2297,39.36,11.96,30.55,24.86,2537,301.6
83,2,1273,465,32,444,621,3612,21.07,6.952,8347,5.251,0.2079,10.91,7.967,nan,4.502,990,167.2
84,2,913,1705,46,546,667,3916,21.84,6.927,9050,nan,nan,14.89,13.85,15.32,9.41,1217,173.2
85,2,980,675,53,254,350,2032,15.82,6.909,4695,nan,nan,8.969,8.33,nan,1.11,566.3,125.4
86,2,894,1634,44,336,584,3408,20.44,6.877,7876,5.208,0.1975,10,15.12,9.452,11.15,749.2,134.4
87,2,1463,766,33,494,533,3119,19.52,6.863,7209,nan,nan,12.84,20.71,19.82,11.95,1101,221
88,2,1644,552,44,1339,4324,2.50E+04,55.61,6.853,5.78E+04,14.1,0.6664,15.5,17.97,20.63,3.878,2986,253.8
89,2,324,2066,39,2564,5003,2.81E+04,59.82,6.823,6.50E+04,8.799,0.4005,38.57,31.22,53.59,15.92,5717,573.4
90,2,995,636,60,530,592,3494,20.58,6.795,8075,nan,nan,26.91,9.833,19.72,6.284,1182,203.1
91,2,1506,440,35,584,843,4847,24.55,6.763,1.12E+04,6.913,0.2812,17.12,8.867,9.533,8.661,1302,218
92,2,1447,838,30,462,763,4423,23.36,6.759,1.02E+04,5.24,0.203,11.63,19.88,17.33,11.3,1030,182.2
93,2,510,1564,41,534,663,3770,21.78,6.755,8712,6.966,0.2944,8.626,9.577,nan,4.843,1191,212
94,2,1362,729,36,632,1079,6090,27.78,6.747,1.41E+04,8.803,0.4004,18.09,7.908,8.232,21.82,1409,241.9
95,2,1144,1212,55,461,989,5675,26.6,6.746,1.31E+04,8.86,0.4169,9.357,11.83,nan,9.444,1028,167.2
96,2,1822,290,25,678,1401,8073,31.65,6.742,1.87E+04,10.63,0.508,12.28,17.05,15.59,10.09,1512,238.9
97,2,815,1531,46,424,560,3254,20.01,6.736,7520,7.137,0.3372,5.388,8.685,nan,1.115,945.4,173.2
98,2,1789,303,36,1221,2036,1.17E+04,38.16,6.73,2.70E+04,10.51,0.4763,26.25,9.732,19.1,18.55,2722,340.5
99,2,855,2206,54,1118,1777,1.02E+04,35.65,6.716,2.35E+04,8.741,0.3865,22,19.59,28.78,12.16,2493,370.3
100,2,882,1274,40,1157,1528,8611,33.06,6.712,1.99E+04,5.271,0.2134,12.3,28.25,24.65,18.66,2580,325.5
101,2,500,1955,20,922,1234,6992,29.71,6.712,1.62E+04,12.47,0.6097,27.01,13.34,25.34,11.24,2056,334.5
