ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,COmax,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,area,perimeter
0,1,688,1616,21,8534,47783,11.5650568,44.18708107,1.878430469,26.24497723,90.32626908,77.16045733,39.71505113,19028.43142,1400.644802
1,2,650,1699,9,1758,10228,7.202636242,35.0883197,1.670272669,18.55197109,22.65799478,28.2923623,8.425063909,3919.847953,462.8996679
2,1,759,1669,9,3181,17054,8.617630005,47.7862459,2.42947041,51.32332384,13.82057397,39.54758835,15.37299175,7092.739669,621.1814898
3,2,759,1669,9,1939,7354,8.617630005,22.34197213,1.028996521,21.46868742,15.52715624,23.88651432,8.203113907,4323.427293,400.184229
4,1,1121,1362,31,50702,339518,14.81952286,67.02604797,2.927965235,145.9774875,60.15112681,151.2993332,45.57587085,113051.269,5008.275762
5,1,1121,1362,31,46005,300540,14.81952286,67.04684594,2.926089722,149.4911836,62.08308271,155.6055794,35.64737841,102578.2736,4521.484498
6,1,1121,1362,31,43113,273436,14.81952286,65.43046205,2.887484793,147.5350011,60.53100501,152.6012187,57.5045022,96129.92309,4339.31108
7,1,1121,1362,31,38955,249047,14.81952286,65.21242602,2.848416764,148.6296348,60.21673457,152.7703777,57.94267996,86858.74687,3750.980535
8,1,1121,1362,31,39878,255969,14.81952286,65.23318733,2.853103278,147.3339172,59.7949243,151.5533151,58.7792339,88916.77854,3867.452064
9,1,1121,1362,31,44230,286380,14.81952286,65.44425461,2.886171078,148.9150384,61.47243844,154.5260568,44.55731532,98620.52045,4318.405934
10,1,1121,1362,31,40457,258582,14.81952286,65.2284197,2.8528408,147.0234837,59.70879479,151.2808605,61.90733966,90207.78648,3951.072649
11,1,1121,1362,31,32070,177845,14.81952286,61.65805927,2.698610382,153.125881,60.19270617,155.0628309,83.50237231,71507.12392,3816.682423
12,1,1121,1362,31,32340,178764,14.81952286,61.66456465,2.700071059,153.0096,60.12075932,154.9093234,86.40684015,72109.14835,3936.140402
13,1,1285,1481,20,8333,36068,12.36435699,43.60261055,1.801570368,29.94065253,36.13964166,50.48650838,18.02183127,18580.25767,1535.035028
14,2,688,1616,21,5936,30369,11.5650568,32.88869236,1.266479365,20.48697947,43.96648559,45.49525544,18.64873527,13235.61857,976.5689768
15,1,1285,1481,20,6502,25775,12.36435699,40.37976849,1.693205398,18.65327325,39.50741183,40.45993236,9.472866485,14497.64015,1284.173272
16,1,1285,1481,20,2585,12601,12.36435699,40.29049256,1.709466601,17.68982756,38.91055455,38.83980928,13.89869306,5763.826484,522.6286573
17,2,1313,1550,13,536,1036,6.606739044,10.12048637,0.4141203729,12.95163877,15.89272423,15.28518192,5.138572983,1195.129979,179.1869682
18,1,1285,1481,20,2390,10418,12.36435699,30.03175281,1.221071131,17.38536878,35.85912014,36.56569443,20.80295123,5329.031062,510.6828594
19,2,1242,1412,15,250,537,5.820768833,8.679446747,0.3838917982,19.40675969,5.222247554,nan,29.36534128,557.4300274,137.3766756
20,2,812,1686,25,712,4623,8.362638474,31.74911049,1.278713437,12.55997651,11.20800025,7.855766727,4.317935495,1587.560718,220.9972608
21,2,1356,1467,15,241,522,8.332697868,5.025591001,0.1606778117,11.57993202,8.937622266,nan,7.585006555,537.3625464,110.4986304
22,2,1278,1439,17,267,542,10.30457306,8.657160861,0.3795407768,7.155187246,12.45710534,nan,7.177951163,595.3352693,125.4308778
23,2,1396,1485,18,679,1295,5.905768871,10.47049926,0.4793776254,20.01002087,13.38616141,19.93782898,10.95413472,1513.979955,262.8075534
24,2,1285,1481,20,1154,4094,12.36435699,18.78910611,0.8111285278,15.75203083,30.40356025,30.90652759,10.14418663,2573.097007,319.5500933
25,1,1121,1362,31,22632,129035,14.81952286,46.2571447,2.049372155,47.12918308,101.6797693,111.1401215,49.9365546,50463.02552,2517.576903
26,1,1121,1362,31,21558,120480,14.81952286,46.21803652,2.040625107,46.97008204,99.1129228,109.5025339,46.56184885,48068.30613,2407.078273
27,1,1121,1362,31,21928,122633,14.81952286,46.22676277,2.042408446,46.63646341,99.55226796,109.3506908,45.30261421,48893.30257,2520.563353
28,1,1121,1362,31,20120,102482,14.81952286,44.77501411,2.024403833,45.70415481,101.4912289,109.2999967,47.77479119,44861.96861,2589.251691
