ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,errR,area,perimeter
1,2,1315,1342,39,5670,6.78E+04,4.76E+05,163.8,27.07,1.10E+06,76.16,3.536,17.42,28.84,31.89,7.976,1.26E+04,1066
2,2,1121,1362,31,1.61E+04,1.09E+05,6.31E+05,207.9,14.82,1.46E+06,45.86,2.043,62.73,53.6,92.59,23.99,3.59E+04,1867
3,2,1164,1430,26,1.54E+04,1.01E+05,5.63E+05,199.9,13.09,1.30E+06,40.94,1.797,68.69,35.01,77.74,24.69,3.43E+04,1646
4,2,1285,1481,20,8358,3.72E+04,2.12E+05,121.4,12.36,4.89E+05,47.7,2.101,19.77,45.13,45.25,27.13,1.86E+04,1702
5,2,688,1616,21,5419,2.81E+04,1.60E+05,105.5,11.57,3.70E+05,32.93,1.273,20.18,42.43,44.19,18.07,1.21E+04,884
6,2,1276,1228,54,7515,4.75E+04,2.68E+05,137.2,10.87,6.18E+05,39.02,1.682,35.72,52.95,68.46,22.65,1.68E+04,1177
7,2,1348,1355,62,1968,1.47E+04,9.10E+04,76.33,10.87,2.10E+05,32.7,1.26,19.85,27.33,33.51,3.278,4388,391.2
8,2,1337,1464,27,6411,2.81E+04,1.58E+05,105.5,10.5,3.64E+05,33.87,1.514,32.49,57.52,68.02,22.43,1.43E+04,988.5
9,2,1385,1394,29,1564,5350,2.96E+04,46.02,10.08,6.84E+04,15.06,0.5944,17.07,31.77,33.51,10.85,3487,436
10,2,1284,1131,66,3076,1.45E+04,7.80E+04,75.69,9.77,1.80E+05,27.81,1.317,20.4,22,29.59,4.234,6859,666
11,2,1215,1328,37,1357,4825,2.67E+04,43.7,9.453,6.16E+04,17,0.7485,20.17,11.77,17.8,6.038,3026,421.1
12,2,1099,953,34,1560,3008,1.55E+04,34.51,9.289,3.59E+04,11.81,0.4831,24.65,7.855,14.19,15.04,3478,495.8
13,2,759,1669,9,2735,1.34E+04,7.18E+04,72.86,8.618,1.66E+05,46.13,2.353,51.48,13.55,39.16,6.27,6098,543.5
14,2,1455,619,30,722,2292,1.26E+04,30.12,8.464,2.91E+04,16.74,0.6909,10.11,15.07,9.601,8.087,1610,241.9
15,2,1356,1467,15,208,423,2227,12.94,8.333,5147,5.008,0.157,10.68,8.116,nan,2.694,463.8,98.55
16,2,1164,824,40,1799,6558,3.20E+04,50.95,7.732,7.40E+04,22.87,1.112,18.17,25.84,30.5,11.33,4011,394.2
17,2,1175,947,57,1772,4675,2.28E+04,43.02,7.693,5.26E+04,17.49,0.8371,8.738,10.28,nan,2.985,3951,513.7
18,2,1341,1371,23,283,693,3645,16.56,7.433,8423,6.864,0.2845,12.67,8.46,nan,7.392,631,122.4
19,2,1070,1274,30,1604,4961,2.45E+04,44.31,7.389,5.65E+04,17.46,0.8355,21.34,12.86,20.37,12.5,3576,510.7
