ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,errR,area,perimeter
1,2,685,1612,24,5602,2.04E+04,5.07E+04,34.59,6.005,1.17E+05,24.9,0.838,16.93,35.73,35.9,17.92,1.39E+04,878
2,2,1055,442,41,3909,1.58E+04,3.72E+04,30.37,4.873,8.59E+04,19.65,0.5843,22.75,30.2,38.8,9.481,9499,725.7
3,2,1120,449,37,5849,1.53E+04,3.89E+04,29.96,4.525,9.00E+04,33.32,1.471,25,66.48,63.89,38.62,1.49E+04,1514
4,2,1130,408,38,4379,1.71E+04,3.92E+04,31.68,4.405,9.06E+04,20.64,0.7056,45.11,19.14,44.4,15.85,1.07E+04,872
5,2,577,1867,42,6569,2.09E+04,4.98E+04,34.96,4.307,1.15E+05,26.64,1.057,33.76,44.35,60.38,15.23,1.75E+04,1556
6,2,1459,1986,61,1916,4306,1.08E+04,15.88,4.225,2.51E+04,13.14,0.4765,18.04,33.22,35.68,17.7,5175,689.9
7,2,759,1668,13,1791,5704,1.42E+04,18.27,3.769,3.27E+04,19.63,0.8288,20.11,15.8,23.01,7.13,4587,504.7
8,2,1281,1480,25,3130,8830,2.13E+04,22.74,3.674,4.91E+04,24.81,0.9763,17.47,31.53,33.84,19.65,7822,672
9,2,1062,406,40,2147,5410,1.25E+04,17.8,3.663,2.90E+04,18.83,0.8722,17.34,29.04,31.95,14.43,5523,719.7
10,2,1106,951,38,2026,4163,9889,15.61,3.418,2.29E+04,9.753,0.347,34.99,13.27,30.28,21.14,4999,594.3
11,2,1440,616,34,3626,6544,1.68E+04,19.57,3.183,3.87E+04,18.59,0.8095,20.66,15.41,23.04,7.466,9465,1266
12,2,570,1784,44,973,1906,4950,10.56,2.809,1.14E+04,9.91,0.3647,19,15.27,21.36,5.133,2526,501.7
13,2,1014,1515,47,834,904,1914,7.275,2.797,4424,4.829,0.1266,20.71,14.37,21.82,12.46,1893,292.7
14,2,857,2207,55,2707,6025,1.28E+04,18.78,2.749,2.97E+04,13.05,0.4681,33.36,27.36,45.85,6.249,6578,660
15,2,1206,1475,28,3607,9052,2.21E+04,23.02,2.698,5.10E+04,22.29,0.9778,20.54,29.71,36.08,12.46,9479,1096
16,2,1404,525,35,2254,4367,9374,15.99,2.696,2.17E+04,9.675,0.3165,37.87,22.24,43.76,17.74,5572,597.3
17,2,1282,1095,73,2025,3823,9620,14.96,2.633,2.22E+04,13.72,0.5903,15.81,47.33,40.83,31.13,5233,695.8
18,2,1129,1332,32,1.84E+04,4.79E+04,1.22E+05,52.93,2.614,2.83E+05,31.35,1.441,43.14,86.42,97.68,49.41,4.86E+04,4489
19,2,1353,1477,32,6182,1.49E+04,3.77E+04,29.51,2.603,8.70E+04,27.27,1.185,27.83,57.66,62.68,22.93,1.69E+04,1756
20,2,898,2214,55,1338,2010,4727,10.85,2.585,1.09E+04,10.27,0.4546,21.76,19.42,28.4,7.6,3166,439
21,2,665,1709,8,632,977,2452,7.563,2.57,5667,9.884,0.3921,16.91,11.29,13.94,5.182,1603,310.6
22,2,1354,449,38,736,1160,3180,8.241,2.545,7348,14,0.6888,10.54,14.09,9.082,8.069,1976,394.2
23,2,685,708,42,337,537,1161,5.607,2.51,2684,nan,nan,15.73,13.17,15.41,2.9,845.1,152.3
24,2,656,1696,16,2445,8742,2.02E+04,22.62,2.486,4.68E+04,30.21,1.231,22.6,32.79,40.59,13.15,6368,749.6
25,2,631,1712,27,773,1411,3345,9.089,2.387,7730,10.04,0.4071,13.48,17.15,17.34,3.747,1873,253.8
26,2,1383,1385,32,584,814,2500,6.903,2.31,5777,12.11,0.5499,23.46,10.62,18.66,18.41,1663,334.5
27,2,900,2301,58,1512,1952,6039,10.69,2.282,1.40E+04,10.42,0.4572,26.81,38.01,48.81,19.19,4569,836.2
28,2,1108,1392,37,1379,1809,6439,10.29,2.222,1.49E+04,19.13,0.8732,17.44,25.77,29.62,13.79,4225,758.6
29,2,1317,1202,73,1184,1607,4169,9.699,2.16,9635,13.88,0.6433,14.52,27.18,27.07,16.33,3059,492.8
30,2,606,1719,44,2068,4743,1.22E+04,16.66,2.16,2.81E+04,18.73,0.7801,16.62,33.28,33.92,15.79,5510,612.2
31,2,626,1655,39,2026,3002,8035,13.26,2.155,1.86E+04,11.98,0.5035,56.83,22.89,55.92,38.06,5289,1054
32,2,1215,1327,41,920,1513,4334,9.411,2.14,1.00E+04,12.26,0.5683,22.3,11.44,19.08,14.24,2419,397.2
33,2,990,2329,58,1429,1719,5796,10.03,2.12,1.34E+04,8.575,0.3497,33.1,18.2,35.8,16.78,4083,907.9
34,2,1120,976,38,467,777,1831,6.744,2.09,4232,8.58,0.3595,13.16,11.63,9.715,4.586,1184,232.9
35,2,1313,479,35,896,1245,4205,8.537,2.083,9718,10.6,0.5025,36.95,16.76,36.41,10.66,3008,674.9
36,2,1156,669,52,1957,3760,1.16E+04,14.84,2.065,2.68E+04,17.4,0.7936,43.92,16.97,40.74,18.94,5559,964.6
37,2,1266,1542,25,1644,2295,6079,11.59,2.044,1.41E+04,10.15,0.4014,36.6,17.89,37.68,14.15,4196,651
38,2,1167,1797,14,203,268,578.9,3.961,2.039,1338,nan,nan,10.27,7.87,nan,3.402,474.9,122.4
39,2,1316,1223,66,1827,2455,9079,11.99,2.035,2.10E+04,21.3,1.047,29.4,47.42,58.08,23.3,5965,1087
40,2,1190,988,63,1299,2109,5523,11.11,2.011,1.28E+04,10.09,0.4033,16.62,25.11,28.15,8.314,3213,603.3
41,2,1443,463,36,946,1463,3691,9.254,1.989,8531,10.18,0.4081,19.82,13.06,19.34,9.532,2408,409.1
42,2,1542,1657,34,344,362,1012,4.603,1.941,2338,6.804,0.278,9.611,15.85,9.611,14.51,804.9,170.2
43,2,1316,1547,17,471,591,1492,5.882,1.856,3448,6.895,0.2839,11.22,21.52,18.1,4.328,1144,191.1
44,2,1312,1346,41,528,1391,4668,9.024,1.851,1.08E+04,22.88,1.111,11.43,15.21,12.23,6.645,1690,346.4
45,2,553,1736,44,216,261,781.3,3.909,1.836,1806,6.802,0.2649,10.44,8.573,nan,4.128,548.5,158.3
46,2,1424,1885,58,1180,1380,4231,8.988,1.822,9777,8.592,0.3551,36.47,18.06,37.81,13.98,3073,722.7
47,2,1531,705,39,230,260,602.6,3.901,1.775,1393,6.677,0.2333,12.94,6.004,nan,5.445,535.1,134.4
48,2,1347,1336,67,742,1245,3896,8.537,1.77,9003,23.07,1.155,12.82,22.77,21.47,14.11,2040,301.6
49,2,1128,515,52,126,126,434.7,2.716,1.752,1004,nan,nan,7.362,9.388,nan,2.725,292.1,149.3
50,2,700,1657,15,101,101,452,2.432,1.752,1044,5.092,0.1701,6.481,16.96,nan,21.16,312.2,152.3
51,2,1231,1605,26,147,155,602.7,3.012,1.718,1393,7.217,0.3607,6.682,8.774,nan,1.828,417,140.4
52,2,451,1824,44,931,1102,4818,8.032,1.716,1.11E+04,14.12,0.6697,44.15,20.62,45.77,19.48,3012,746.6
53,2,931,1781,43,175,283,727,4.07,1.705,1680,5.111,0.176,14.57,9.824,8.257,10.88,503.9,113.5
54,2,462,1821,41,295,311,1165,4.267,1.7,2692,5.202,0.1942,20.04,9.767,14.39,11.02,831.7,230
55,2,515,1741,43,424,636,2536,6.102,1.695,5860,10.48,0.4721,15.13,12.66,14,9.531,1567,477.8
56,2,781,1539,43,400,441,1717,5.081,1.689,3967,10.65,0.5175,41.07,11.76,31.08,34.51,1258,439
57,2,1031,1345,55,445,461,1642,5.195,1.689,3794,8.755,0.3924,30.22,13.82,28.17,18.2,1282,412.1
58,2,939,1745,42,275,329,823.6,4.389,1.688,1903,6.971,0.302,10.22,11.92,3.425,19.91,675.6,161.3
59,2,848,1968,47,74,74,453.6,2.081,1.687,1048,5.167,0.1861,7.569,20.03,9.511,15.84,260.9,149.3
60,2,1163,907,42,589,709,2490,6.442,1.684,5754,8.955,0.4406,8.81,26.97,17.82,23.3,1739,468.9
