ncl,mass from summing all,mass from summing mom0
0,211303230.3,211303220
1,206487840,206487870
2,197311590.6,197311620
3,161456692.1,161456690
4,114029722.7,114029690
5,74384306.84,74384330
6,119704053.2,119704024
7,69732936.93,69732930
8,56476609.64,56476610
9,52283122.18,52283110
10,45606206.82,45606210
11,114585881.7,114585896
12,2912487.72,2912487.8
13,10735975.71,10735976
14,234778.7791,234778.78
15,353444474.6,353444600
16,339489510.5,339489540
17,332800149.6,332800100
18,310098788.6,310098720
19,304497141.2,304497150
20,293502726,293502720
21,245600927.2,245600930
22,236540805.4,236540780
23,281508201.7,281508260
24,193006507.8,193006500
25,199301977.8,199302000
26,174706607.5,174706600
27,285578296.9,285578270
28,343847855.1,343848030
29,223607639.5,223607710
30,314246659.5,314246820
31,368805182.2,368805280
32,307089.4548,307089.47
33,9150816.304,9150815
34,5213297.803,5213297.5
35,30649309.64,30649308
36,6316667.374,6316667.5
37,5209220.712,5209220.5
38,666916.4046,666916.3
39,nan,nan
40,nan,nan
41,334557410.3,334557500
42,193627690.4,193627680
43,287161358.7,287161300
44,162108393.2,162108400
45,226405.9261,226405.94
46,150011867.4,150011900
47,248881400.9,248881360
48,333980202.9,333980260
49,119447.4558,119447.45
50,nan,nan
51,nan,nan
52,144391191.3,144391170
53,148779616.6,148779620
54,130053247.6,130053240
55,126827302.9,126827336
56,102521157.1,102521140
57,99385781.67,99385790
58,19667894.01,19667894
59,1502560.044,1502560
60,nan,nan
61,nan,nan
62,nan,nan
63,74317.57272,74317.57
64,nan,nan
65,359938.6634,359938.72
66,nan,nan
67,265477.7641,265477.75
68,80940177.65,80940184
69,72822891.9,72822910
70,5931961.396,5931961
71,68559693.59,68559710
72,501716.9742,501716.94
73,825121.0323,825121.06
74,196415.4926,196415.48
75,5120415.35,5120415.5
76,nan,nan
77,nan,nan
78,nan,nan
79,162356.5834,162356.6
80,150003.0818,150003.08
81,nan,nan
82,nan,nan
83,60810249.28,60810244
84,8952816.016,8952819
85,nan,nan
86,904218.1022,904218
87,48125626.09,48125620
88,39097025.33,39097024
89,19422289.93,19422288
90,18685062.15,18685060
91,24438025.32,24438022
92,10293095.28,10293094
93,7022990.792,7022990.5
94,nan,nan
95,nan,nan
96,nan,nan
97,3726635.027,3726635
98,422113.1676,422113.16
99,nan,nan
100,nan,nan
101,nan,nan
102,nan,nan
103,249786948.3,249786990
104,nan,nan
105,242264.0065,242264.02
106,197121.6647,197121.64
107,nan,nan
108,692148.5414,692148.5
109,182141.4532,182141.47
110,nan,nan
111,nan,nan
112,218746719.6,218746700
113,218405373.6,218405300
114,6275358.454,6275357
115,nan,nan
116,nan,nan
117,nan,nan
118,350938.9096,350938.94
119,733309.273,733309.2
120,9714163.039,9714163
121,7914928.289,7914928.5
122,nan,nan
123,nan,nan
124,nan,nan
125,198465785.8,198465800
126,190930034.7,190930000
127,172184377.4,172184300
128,118951702.5,118951640
129,176669078.7,176669070
130,432728.9863,432728.97
131,1873289.186,1873289.1
132,571146.6943,571146.7
133,nan,nan
134,nan,nan
135,nan,nan
136,112102492,112102510
137,91300072.43,91300050
138,88605813.82,88605820
139,82244421.17,82244430
140,75942306.15,75942320
141,12273775.25,12273777
142,11433686.41,11433687
143,7440420.526,7440420.5
144,nan,nan
145,22991954.82,22991954
146,nan,nan
147,nan,nan
148,nan,nan
149,nan,nan
150,67964934.23,67964920
151,56080525.01,56080530
152,nan,nan
153,nan,nan
154,957532.2962,957532.25
155,nan,nan
156,nan,nan
157,17773363.51,17773364
