ncl,mass from summing all,mass from summing mom0
1,19909619.65393689,19909622.0
2,41284215.14785252,41284212.0
3,91386327.73508908,91386296.0
4,10687407.181612194,10687407.0
5,74749680.98222989,74749704.0
6,31233023.708101373,31233024.0
7,27949560.805968344,27949562.0
8,13072623.248756409,13072622.0
9,7917218.059182167,7917218.5
10,75950971.77119365,75950940.0
11,25024190.968188867,25024188.0
12,2488137.6198615143,2488137.8
13,1324955.3939743042,1324955.4
14,27405814.955471434,27405814.0
15,5446153.061920166,5446153.0
16,29280911.074282497,29280916.0
17,3070607.751201801,3070607.8
18,542878.4718170166,542878.5
19,10566052.238125134,10566052.0
20,38627096.80585433,38627100.0
21,3071106.3625324704,3071106.2
22,999047.6286010742,999047.6
23,4306953.805013768,4306953.5
24,3355187.499725342,3355187.2
25,3669880.940871032,3669881.0
26,3072039.116598755,3072039.2
27,5443893.045112729,5443893.0
28,390010.93244308233,390010.9
29,41150518.66947205,41150510.0
30,4806865.676225424,4806866.0
31,801441.9200995266,801441.94
32,3080049.2223029323,3080049.2
33,1508119.668121338,1508119.6
34,1763617.0670380592,1763617.0
35,563963.2774531413,563963.3
36,1019223.8170675635,1019223.75
37,2476771.536274433,2476771.8
38,797640.3408511728,797640.4
39,1923411.3118562102,1923411.1
40,465815.26152801514,465815.25
41,432090.62011384964,432090.56
42,1082281.6587278843,1082281.8
43,120985.70284142345,120985.71
44,1890436.511077851,1890436.4
45,1164156.9707385004,1164157.0
46,1109117.0530438423,1109117.1
47,846826.3690929264,846826.44
48,651943.4833560251,651943.4
49,4018646.2707353085,4018646.8
50,1398612.007334767,1398612.0
51,1342184.2240405977,1342184.5
52,316478.12142944336,316478.1
53,913522.4752740934,913522.5
54,908247.5293055363,908247.56
55,703848.2978220468,703848.4
56,292551.65439224243,292551.62
57,358813.3140824884,358813.28
58,200053.16444396973,200053.17
59,234571.19751685858,234571.2
60,149786.06511616707,149786.06
61,133014.57503414154,133014.58
62,143215.3139976859,143215.33
63,170928.79817199707,170928.8
64,32214.145310640335,32214.148
65,195721.85009765625,195721.86
66,181189.85008373857,181189.86
67,255766.89157752693,255766.89
68,172004.6485915631,172004.66
69,271570.1340675354,271570.12
70,39653.49772644043,39653.5
71,109481.98818349838,109481.99
72,137684.57933044434,137684.58
73,105709.5548529625,105709.56
74,157149.6973054409,157149.72
75,267937.78801727295,267937.78
76,132265.02409553528,132265.03
77,5240.133167237043,5240.133
78,81615.4447927177,81615.445
79,177894.00519657135,177894.0
80,4518.599523052573,4518.6
81,134348.67974853516,134348.67
82,700266.0700378418,700266.06
83,228048.29762268066,228048.3
84,83631.46233865619,83631.47
85,49240.292162269354,49240.293
86,208824.99053955078,208824.98
87,170454.0955581665,170454.1
88,632345.9565119594,632345.94
89,-223687.2951273024,-223687.31
90,151798.97915649414,151798.98
91,121860.19176003523,121860.2
92,37920.70088249445,37920.695
93,127905.31224179268,127905.31
94,197614.06574493647,197614.05
95,194226.27916491032,194226.3
96,290200.1627962068,290200.12
97,167960.64237356186,167960.62
98,378855.7517729383,378855.75
99,1277449.1510925293,1277449.2
100,241162.46421982162,241162.48
101,330729.92361831665,330729.94
102,55065.16767323017,55065.168
103,242332.25760746002,242332.25
104,-2473.606502633542,-2473.6062
105,81949.36394309998,81949.37
106,245649.24071276188,245649.25
107,140620.86596679688,140620.86
108,86061.47402954102,86061.48
109,65775.95245909691,65775.95
