ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,COmax,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,area,perimeter
1,2,1315,1342,39,3950,48889,27.06738853,74.75770373,3.4738409,17.01,28.21,30.95,3.408,8807.394433,755.571716
2,2,1121,1362,31,11741,70953,14.81952286,44.39974594,1.980040672,53.19,51.5,83.23,24.21,26179.14381,1308.064868
3,2,1164,1430,26,11992,62642,13.09225464,39.59159713,1.784740164,26.9,59.62,62.67,34.37,26738.80356,1660.465906
4,2,1285,1481,20,4186,20053,12.36435699,43.59676921,1.852477871,18.99,40.03,41.21,19.86,9333.608379,976.5689768
5,2,688,1616,21,4048,18450,11.5650568,28.42222552,1.16306102,19.37,39.56,41.41,12.67,9025.907004,907.880639
6,2,1276,1228,54,7784,39591,10.87342453,42.19241876,2.057082011,35.43,84.16,87,52.41,17356.14133,1445.441544
7,2,1348,1355,62,1623,10958,10.86957169,31.72480041,1.323379511,19.02,26.9,32.27,9.072,3618.835738,394.2113301
8,2,1337,1464,27,4462,17215,10.4992609,23.59386654,0.9912395476,32.27,51.42,63.83,24.1,9949.01113,719.7343224
9,2,1385,1394,29,1086,3281,10.07845211,13.61791865,0.5793948369,15.89,22.43,25.12,10.85,2421.476039,340.4552396
10,2,1215,1328,37,770,2818,9.453107834,15.23653012,0.6401989689,17.12,10.08,12.08,7.84,1716.884484,238.9159576
11,2,1099,953,34,623,1157,9.288862228,6.798927089,0.2663042215,16.62,10.03,11.4,3.816,1389.115628,194.1192156
12,2,759,1669,9,1355,4704,8.617630005,15.81280049,0.7699062236,19.97,14.89,21.8,10.77,3021.270749,364.3468354
13,2,1455,619,30,511,1379,8.463931084,10.42271187,0.4679818045,10.15,13.75,7.637,9.764,1139.386976,194.1192156
14,2,812,1686,25,505,3096,8.362638474,28.77149679,1.212439968,11.37,10.46,1.994,12.45,1126.008655,179.1869682
15,2,1164,824,40,714,1761,7.732318401,17.88631247,0.9309519012,7.038,9.916,nan,3.269,1592.020158,235.9295082
16,2,1175,947,57,263,819,7.693240643,13.89845197,0.646960912,6.743,7.916,nan,0.8045,586.4163889,116.4715293
17,2,1070,1274,30,672,1991,7.388805389,15.90356646,0.7821221864,6.956,12.77,nan,9.757,1498.371914,215.0243619
18,2,1243,1253,71,451,1277,7.285739899,13.80901843,0.6173914103,17.78,10.82,14.07,10.78,1005.603769,155.2953725
19,2,1174,847,40,381,806,7.230035305,6.902746727,0.2846029637,16.5,8.208,6.902,4.872,849.5233618,167.2411703
20,2,650,1699,9,815,3446,7.202636242,19.22278295,0.9078667252,13.07,19.58,19.12,8.414,1817.221889,253.848205
21,2,1239,1212,55,235,516,7.02574873,7.120543692,0.3378264893,8.028,9.167,nan,0.7927,523.9842258,131.4037767
22,2,1138,1301,57,291,591,6.672597885,7.073007638,0.3266932186,8.126,9.488,nan,1.119,648.8485519,122.4444283
23,2,650,1627,36,413,869,6.578469753,6.966751033,0.2994828457,15.8,9.776,9.889,10.85,920.8744053,161.2682714
24,2,1233,1600,19,572,981,6.515619755,7.154110288,0.3453719661,10.91,6.014,nan,3.064,1275.399903,283.7126997
25,2,1189,931,56,546,905,6.456647396,8.823547857,0.4154925762,10.69,16.55,12.54,11.65,1217.42718,206.0650135
26,2,1279,1567,19,732,1054,6.312281132,8.804836598,0.4118873803,9.446,24.56,17.4,17.56,1632.15512,286.6991492
,,,,,,,,,,10.19,16.01,10.98,13.53,,
