ncl,position,mlum,r,vel disp,ncl lowsn,position lowsn,mlum lowsn,r lowsn,vel disp lowsn
1,"(+322, +1246)",550000,34,4.07,20,"(-254, +821)",210000,21,4.4
2,"(+340, +1262)",420000,24,4.43,21,"(-864, +329)",310000,19,2.75
3,"(-469, +671)",720000,52,6.29,22,"(+368, +1290)",270000,25,5.39
4,"(-238, +828)",780000,50,4.86,23,"(-234, +828)",440000,34,6.19
5,"(-300, +764)",630000,47,3.38,24,"(+351, +1278)",240000,24,5.89
6,"(-256, +811)",330000,43,4.44,25,"(+1430, +596)",450000,35,4.67
7,"(+2384, +709)",330000,28,2.35,27,"(-278, +760)",220000,28,4.13
8,"(-279, +782)",250000,32,5.45,31,"(-399, +686)",170000,37,4.7
9,"(+1438, +623)",310000,19,2.86,32,"(-530, +615)",230000,42,4.51
10,"(-379, +730)",340000,33,4.38,33,"(-96, +953)",380000,27,7.03
11,"(-201, +837)",150000,24,2.38,35,"(-327, +787)",120000,29,3.15
12,"(-381, +711)",610000,92,4.24,37,"(-285, +780)",170000,19,5.26
13,"(-282, +810)",260000,27,4.07,38,"(-232, +831)",120000,31,2.67
14,"(-276, +812)",260000,30,4.88,39,"(-669, +519)",370000,55,2.64
15,"(-492, +647)",260000,47,2.95,42,"(-933, +343)",330000,60,2.97
16,"(+948, -386)",260000,19,3.09,45,"(-541, +629)",90000,25,3.42
17,"(-420, +714)",420000,42,4.41,47,"(+1376, +556)",160000,35,2.08
18,"(-512, +642)",400000,30,5.54,51,"(-235, +837)",50000,12,2.16
19,"(-820, +387)",380000,40,3.99,56,"(+982, -373)",60000,16,2.14
