GALAXY,ncl,r,e,vel disp,flux,mlum,mvir
ngc4826,1,61.25236377,0.6806640882,8.959374406,940531.6395,5522307.501,5330303.417
ngc4826,3,47.9869211,0.6440375035,23.88487887,5098382.312,24302950.13,31756085.43
ngc4826,4,24.61193146,0.9776129838,9.426631699,562224.8004,3216396.683,2536978.373
ngc4826,6,52.26739674,0.3319350213,9.267694437,561428.8567,3100187.867,5131117.776
ngc4826,7,57.60395184,0.5375487896,10.80423039,964871.5436,5550279.343,7440529.609
ngc4826,8,37.49867841,0.7712937059,10.54309801,845768.8995,4909798.485,4835155.426
ngc4826,9,70.9030241,0.6656166163,21.65251,3334384.822,16748114.79,34322137.4
ngc4826,10,40.61585935,0.9118392708,12.55358079,556446.3134,3026484.212,7424870.432
ngc4826,11,58.40020732,0.6093861159,20.6009849,1187652.728,6137503.171,27300266.34
ngc4826,12,60.72461015,0.8618206268,17.68176258,916879.7208,4937606.418,20641547.68
ngc4826,13,39.46248642,0.942439142,13.86241061,495697.573,2855190.936,8796703.459
ngc4826,14,27.42534904,0.8966300944,8.698253475,404185.903,2321523.392,2406989.918
ngc4826,15,54.0758245,0.7057189646,22.53128787,1825881.619,9359412.653,31023356.97
ngc4826,16,29.483654,0.7554241267,10.05134675,316024.2125,1743168.016,3455316.28
ngc4826,18,24.71623281,0.9735853117,9.592503829,437313.7259,2445872.302,2638178.818
ngc4826,20,34.64158114,0.913010204,13.52539799,438219.2488,2470000.839,7351158.758
ngc4826,21,56.18666583,0.8763676292,19.46688136,959128.3756,5039742.611,23757255.18
ngc4826,23,38.92580138,0.9233419095,17.38055731,556956.0135,3074239.232,13640269.39
ngc4826,24,36.79395072,0.869089793,26.84837851,1706294.23,8571060.789,30765964.56
ngc4826,25,65.19507764,0.9229188508,23.15644687,2092211.265,10903821.49,37119464.81
ngc4826,26,31.56857542,0.9216176398,15.94110782,1941481,9132361.436,9305719.805
ngc4826,27,51.33509175,0.8768254714,15.25712452,615099.1866,3445897.788,13740512.57
ngc4826,28,30.91106553,0.9544474708,17.64726444,2105264.923,9934799.612,11166748.94
ngc4826,29,52.6156229,0.686845126,16.82365543,936038.7726,5002261.902,16983682.59
ngc4826,30,40.69724933,0.9935203915,13.09898895,1641176.325,8671432.547,8100253.263
ngc4826,31,55.1671599,0.8202359147,14.66682081,563565.4324,3145024.145,13322131.43
ngc4826,33,30.09027236,0.9354621776,24.03222866,3835643.628,18133689.33,20159149.39
ngc4826,36,45.04619575,0.8867679898,18.36612402,1701345.334,8488317.083,17625893.2
ngc4826,38,39.03725001,0.8972609434,17.62763769,1323203.18,6863805.682,14071015.34
ngc4826,39,51.82085617,0.8309269281,16.21065418,1322317.246,7303569.505,15609373.13
ngc4826,41,26.29200819,0.9828364852,15.93330939,1082284.55,5382945.266,7742723.08
ngc4826,42,53.13423293,0.911829236,17.93565143,375070.2741,2146554.99,19429661.93
ngc4826,44,63.30358531,0.9343296369,15.19075996,2801220.839,15071679.94,15663634.17
ngc4826,45,53.75231855,0.633806667,18.35625724,3156524.994,15514603.52,20509153.18
ngc4826,46,76.17157937,0.8334818537,14.59035448,898224.0586,5256131.821,16347135.07
ngc4826,47,43.30358645,0.9878137729,12.02076702,1136514.493,5947166.06,7258488.885
ngc4826,48,95.2218584,0.7463038661,11.07667988,3163274.736,16950653.86,10933477.15
