ncl,peak,ra,dec,r,vlsr,vel disp,mvir,lco,area,density,velocity metric
1,1,5:25:48,-66:13:59,3.5,286.6,5.1,17000,1.7,38.48451001,441.7361686,7.431428571
2,2,5:25:10,-66:14:49,6.6,292.4,8.6,93000,3.5,136.847776,679.5872226,11.20606061
3,3,5:26:26,-66:10:19,3.8,298.1,7.6,42000,1.3,45.36459792,925.8320789,15.2
4,4,5:26:03,-66:12:29,4.4,287.5,3.9,13000,1.7,60.82123377,213.7411426,3.456818182
5,5,5:25:41,-66:15:09,3.9,291.9,3.5,9100,1.2,47.78362426,190.4418122,3.141025641
6,6,5:25:30,-66:16:49,2.9,285.1,4,8800,1,26.42079422,333.0709867,5.517241379
7,7,5:26:06,-66:09:19,7,285.1,3.3,14000,1.9,153.93804,90.94568177,1.555714286
8,8,5:25:35,-66:16:09,5.4,291.7,3.7,14000,1.4,91.60884178,152.8236765,2.535185185
9,9,5:25:35,-66:17:09,2.9,289.3,3.2,5600,0.53,26.42079422,211.9542643,3.531034483
10,10,5:25:45,-66:11:49,5.8,280.6,5.6,35000,1,105.6831769,331.1785379,5.406896552
11,11,5:24:58,-66:13:59,2.8,291.6,6.1,20000,0.42,24.6300864,812.0150158,13.28928571
12,12,5:25:58,-66:14:59,1.2,288.7,2.7,1700,0.28,4.523893421,375.7825045,6.075
13,14,5:25:25,-66:13:19,1.7,297.9,3.1,3100,0.27,9.079202769,341.4396703,5.652941176
14,15,5:25:21,-66:13:49,3.5,297.5,3.1,6400,0.44,38.48451001,166.3006752,2.745714286
15,16,5:25:46,-66:10:39,2.3,294,5,11000,0.29,16.61902514,661.8920129,10.86956522
16,17,5:25:30,-66:12:59,5.4,298,3.7,14000,0.64,91.60884178,152.8236765,2.535185185
17,18,5:25:59,-66:10:49,3.2,295.3,4.5,12000,0.4,32.16990877,373.0193979,6.328125
18,19,5:25:33,-66:08:49,3.5,298.1,2.8,5200,0.25,38.48451001,135.1192986,2.24
