ncl,ra,dec,v,r,vel disp,mlum,mvir,tmax,xrad
1,8:36:15,-26:24:38,787.6,21.6,2.7,160000,160000,4.6,41.256
2,8:36:15,-26:24:37,794.8,12.1,3.7,230000,170000,5,23.111
3,8:36:16,-26:24:43,799,28.1,2.7,290000,220000,5.8,53.671
4,8:36:16,-26:24:43,807.8,38.1,5.2,980000,1060000,7.9,72.771
5,8:36:15,-26:24:32,806,18.1,4.8,250000,440000,5.2,34.571
6,8:36:16,-26:24:38,806.2,25.7,4.8,560000,610000,7.3,49.087
7,8:36:16,-26:24:39,811.7,11,2.3,120000,60000,5.7,21.01
8,8:36:16,-26:24:37,814.4,36,4.5,790000,760000,8.1,68.76
9,8:36:16,-26:24:40,817.2,22.5,2.8,140000,180000,4.9,42.975
10,8:36:15,-26:24:38,818.3,44,7,1290000,2240000,8.8,84.04
11,8:36:16,-26:24:35,825.1,38.4,3.1,640000,370000,6.1,73.344
12,8:36:16,-26:24:41,828.3,30.6,3.4,390000,370000,4.9,58.446
13,8:36:15,-26:24:38,830.2,41.2,3.2,800000,430000,10.4,78.692
14,8:36:15,-26:24:32,823.4,43.3,6.4,2410000,1850000,11,82.703
15,8:36:15,-26:24:31,830,19.1,4.2,420000,360000,7.9,36.481
16,8:36:15,-26:24:32,834,24.8,2.5,250000,160000,6.5,47.368
17,8:36:16,-26:24:41,835.1,15.8,3.5,150000,210000,6,30.178
18,8:36:15,-26:24:31,835.9,51.7,3.9,1140000,830000,11.5,98.747
19,8:36:16,-26:24:41,835.5,25.3,3.4,250000,300000,4.7,48.323
20,8:36:15,-26:24:38,831.7,31.7,5.1,1320000,860000,10.8,60.547
21,8:36:16,-26:24:35,834.5,48.8,4.3,1790000,930000,8.8,93.208
22,8:36:15,-26:24:35,833.4,20.5,5.2,940000,570000,12.2,39.155
23,8:36:15,-26:24:32,838.3,39.5,3.5,590000,500000,6.4,75.445
24,8:36:16,-26:24:40,830.6,57.6,7,2040000,2950000,8.7,110.016
25,8:36:15,-26:24:38,838.8,29.6,4.5,730000,630000,9.4,56.536
26,8:36:16,-26:24:38,828.7,49.8,7.7,4140000,3110000,11.1,95.118
27,8:36:15,-26:24:32,839.6,33.3,4.1,680000,580000,10.6,63.603
28,8:36:16,-26:24:41,839.5,44.8,4.1,780000,780000,7,85.568
29,8:36:15,-26:24:37,841.4,19.5,3.5,480000,250000,10.6,37.245
30,8:36:15,-26:24:30,842.4,21.2,3,330000,200000,6.9,40.492
31,8:36:15,-26:24:40,843.1,12.4,1.8,120000,40000,4.5,23.684
32,8:36:16,-26:24:37,843.1,25.8,2.1,460000,120000,11,49.278
33,8:36:15,-26:24:41,843.6,22.1,2.8,110000,180000,4,42.211
34,8:36:16,-26:24:36,848.4,36.9,7.5,2230000,2140000,10.6,70.479
35,8:36:15,-26:24:33,843,44.7,3.1,1030000,460000,11.3,85.377
36,8:36:15,-26:24:31,843.8,29.4,3.1,280000,290000,6.2,56.154
37,8:36:16,-26:24:40,848.8,49.4,5.5,2270000,1540000,8.5,94.354
38,8:36:15,-26:24:43,844.2,10,2.5,110000,70000,4.2,19.1
39,8:36:15,-26:24:38,847.8,44,7.8,3280000,2780000,11.2,84.04
40,8:36:15,-26:24:35,844.5,26.7,3.2,770000,280000,13,50.997
41,8:36:16,-26:24:38,844.5,37.7,4.1,1130000,670000,9.7,72.007
42,8:36:15,-26:24:31,844.3,19.5,2,140000,80000,5.7,37.245
43,8:36:15,-26:24:41,850.4,16.3,2.6,140000,110000,4,31.133
44,8:36:15,-26:24:34,846.9,31.3,2.3,400000,180000,7.6,59.783
45,8:36:15,-26:24:31,848.6,19.5,1.8,120000,60000,6.4,37.245
46,8:36:16,-26:24:38,850,47.3,3.1,1170000,470000,10.6,90.343
47,8:36:15,-26:24:32,849.6,49.1,2.1,1020000,230000,12.1,93.781
48,8:36:15,-26:24:30,852.4,18.5,4.4,220000,370000,5,35.335
49,8:36:15,-26:24:39,849.5,14.4,1.7,140000,50000,4.6,27.504
50,8:36:15,-26:24:38,850.2,44.9,5.6,1540000,1470000,8.6,85.759
51,8:36:15,-26:24:35,863,37.3,8.5,2650000,2780000,12.9,71.243
52,8:36:15,-26:24:34,852.2,18.3,2.4,190000,110000,7.4,34.953
53,8:36:15,-26:24:31,851.8,29.7,5,600000,770000,6.9,56.727
54,8:36:16,-26:24:43,855.8,37.1,5.2,760000,1050000,6.3,70.861
55,8:36:15,-26:24:40,853.6,17.1,2,140000,70000,6,32.661
56,8:36:16,-26:24:39,854.9,31.7,2.1,240000,150000,6.8,60.547
57,8:36:15,-26:24:34,853.6,29.9,2.7,370000,230000,6.6,57.109
58,8:36:16,-26:24:42,862.4,56,8.6,1540000,4350000,6.3,106.96
59,8:36:15,-26:24:40,855.7,12.8,1.1,40000,20000,5.4,24.448
60,8:36:16,-26:24:38,856.8,45.5,2.2,850000,240000,8.5,86.905
61,8:36:15,-26:24:34,853.8,23.4,4,660000,390000,8,44.694
62,8:36:15,-26:24:33,856.3,54,4,1990000,880000,13.9,103.14
63,8:36:15,-26:24:40,859.7,16.7,2.1,110000,80000,5.9,31.897
64,8:36:15,-26:24:34,859,30.5,1.3,310000,50000,8.3,58.255
65,8:36:15,-26:24:43,863.7,22,2.9,110000,190000,4.5,42.02
66,8:36:15,-26:24:41,862,13.6,2.8,140000,110000,5.1,25.976
67,8:36:15,-26:24:39,861.4,21.2,3.5,180000,270000,5.6,40.492
68,8:36:15,-26:24:39,862.6,42.1,3,520000,390000,7.9,80.411
69,8:36:15,-26:24:35,859.7,13.2,1.5,70000,30000,4,25.212
70,8:36:16,-26:24:38,864.9,36.9,3.5,700000,460000,6.5,70.479
71,8:36:15,-26:24:35,863.8,17.7,3.9,370000,280000,7,33.807
72,8:36:15,-26:24:34,865.4,35.4,5.2,1410000,990000,10.6,67.614
73,8:36:15,-26:24:34,865.6,30.6,2.7,600000,240000,8.8,58.446
74,8:36:16,-26:24:40,865.1,49.5,3.7,1130000,720000,7.9,94.545
75,8:36:16,-26:24:37,864.6,30.4,3.1,420000,310000,6.9,58.064
76,8:36:15,-26:24:32,865,29.7,2.4,710000,180000,13.5,56.727
