# i,l,b,v,rg,d,sigv r,lco,mlte,sig2 r2,lco2,mlte2
64,18.87,-0.01,47.6,5,12.2,2.6  40.6,1.32E+05,3.23E+05,2.0   5.5,3.46E+03,2.88E+04
67,19.22,-0.23,37.2,6,13.3,1.5  42.2,8.27E+04,7.86E+04,1.7   5.0,8.94E+02,4.88E+03
68,19.31,0.03,26,6.5,2.2,1.9   6.9,3.91E+03,1.41E+04,2.0   0.8,5.58E+01,8.98E+02
70,19.61,-0.08,60.6,4.7,4.2,3.0   9.7,8.28E+03,1.31E+04,2.6   2.3,4.83E+02,2.74E+03
71,19.63,-0.66,56.7,4.9,4.1,2.2  10.3,8.47E+03,1.89E+04,2.2   3.1,8.70E+02,4.47E+03
72,19.67,0.11,25,6.5,13.8,2.4  41.3,1.23E+05,2.61E+05,2.2   9.6,7.17E+03,3.54E+04
73,19.78,-0.64,23.8,6.7,2,1.3   4.6,8.42E+02,2.77E+03,0.9   0.5,7.73E+00,6.48E+02
74,19.81,-0.39,68.2,4.3,4.7,2.7  32.1,6.30E+04,1.10E+05,2.3   2.3,4.00E+02,3.50E+03
75,19.9,-0.62,44.1,5.4,3.4,2.8  23.2,5.91E+04,1.28E+05,2.3   1.6,3.39E+02,3.64E+03
77,20.58,-0.42,63.3,4.5,11.3,2.9  33.8,6.20E+04,1.21E+05,2.5   2.9,2.60E+02,9.78E+03
78,20.69,-0.32,62.8,4.7,11.5,1.9  22.8,4.10E+04,7.85E+04,1.7   5.2,3.41E+03,1.95E+04
79,20.76,-0.09,57.8,4.8,11.7,3.1  27.1,9.12E+04,1.89E+05,2.6   4.4,3.29E+03,2.48E+04
80,20.75,0.05,78.2,4.2,5,3.1  16.7,1.75E+04,1.95E+04,3.0   4.4,1.98E+03,4.92E+03
81,20.87,-0.02,32.3,6.3,13.5,4.0  45.0,1.41E+05,2.33E+05,3.7  11.7,1.34E+04,4.72E+04
82,20.91,-0.31,66.3,4.5,4.6,1.4  15.3,1.61E+04,1.01E+04,1.5   6.1,2.08E+03,4.63E+03
84,21.54,-0.64,53.5,5.1,3.9,2.0  23.7,3.56E+04,4.92E+04,1.6   0.3,9.61E+00,3.76E+02
85,21.71,-0.02,68.3,4.6,4.5,1.9  18.1,2.31E+04,2.41E+04,2.0   5.3,2.31E+03,6.94E+03
86,21.36,0,74.4,4.3,10.9,1.7  32.0,7.85E+04,1.19E+05,1.7   6.7,4.28E+03,1.86E+04
87,21.52,0.26,78.8,4.3,5,2.2   7.5,4.24E+03,3.50E+03,2.0   1.8,2.59E+02,6.73E+02
88,21.87,-0.36,82.2,4.2,10.6,2.8  46.0,2.04E+05,2.02E+05,2.5   6.0,3.29E+03,1.54E+04
89,22.07,0.17,51.7,5.3,3.6,2.8  22.9,3.69E+04,6.19E+04,1.8   2.0,4.19E+02,2.62E+03
90,22.34,0.08,84.2,4.1,10.4,1.9  18.4,4.62E+04,5.83E+04,1.8   2.0,3.84E+02,4.51E+03
91,22.41,0.33,84.5,4.1,10.4,1.1  17.1,3.66E+04,4.43E+04,1.2   6.9,3.92E+03,2.82E+04
92,22.54,-0.04,115.1,3.3,7.9,0.5  10.6,1.03E+04,3.44E+03,0.5   1.7,1.16E+02,4.63E+02
93,22.56,-0.2,77.4,4.4,10.8,3.1  11.4,3.32E+04,9.20E+04,3.1   8.8,1.27E+04,6.52E+04
94,22.74,-0.24,106.3,3.4,8.7,2.8  16.0,2.26E+04,5.55E+04,3.2   1.2,1.04E+02,2.32E+03
95,22.81,0.41,91.9,3.9,10,2.3  19.8,4.58E+04,3.97E+04,2.5  12.8,1.72E+04,2.92E+04
96,22.86,0.4,114.1,3.3,7.8,2.0   6.4,9.59E+03,5.32E+03,2.1   3.9,1.15E+03,3.47E+03
97,23,-0.36,76.6,4.5,10.9,2.3  83.4,1.33E+06,2.08E+06,2.2   5.6,6.26E+03,4.99E+04
