ncl,vel disp,r,pa,maj,min,lco,mvir,mco,mvir,mlum,area,density
2,11.2,97,54,69,42,7,20,10,2000000,1000000,29559.24528,67.66072615
4,5.3,60,23,51,26,3,3,4,300000,400000,11309.73355,26.52582385
5,5.7,87,87,79,31,8,5,10,500000,1000000,23778.7148,21.02720876
7,4.6,26,59,23,20,0.5,1,0.9,100000,90000,2123.716634,47.08726127
10,4.6,29,175,28,19,1,1,2,100000,200000,2642.079422,37.84897577
11,3.4,40,143,41,20,0.5,0.9,0.8,90000,80000,5026.548246,17.9049311
12,5.6,120,85,126,34,6,7,10,700000,1000000,45238.93421,15.47339725
14,6.5,27,88,25,19,2,2,3,200000,300000,2290.221044,87.32781514
15,2.9,29,138,25,20,0.2,0.4,0.3,40000,30000,2642.079422,15.13959031
16,6.1,26,66,26,18,2,2,3,200000,300000,2123.716634,94.17452254
17,8.1,75,177,48,38,6,9,9,900000,900000,17671.45868,50.92958179
18,5.9,38,128,33,21,0.4,2,0.6,200000,60000,4536.459792,44.08724185
19,4.5,41,86,41,20,0.6,2,1,200000,100000,5281.017251,37.87149152
21,7.6,16,143,20,17,0.4,2,0.7,200000,70000,804.2477193,248.6795986
23,9.8,57,48,51,25,4,10,6,1000000,600000,10207.03453,97.97164856
24,4.4,31,37,23,23,0.3,1,0.5,100000,50000,3019.07054,33.12277692
25,4.1,26,43,26,18,0.7,0.8,1,80000,100000,2123.716634,37.66980902
26,4.1,26,125,19,23,0.3,0.8,0.5,80000,50000,2123.716634,37.66980902
27,3.8,31,111,20,27,0.8,0.8,1,80000,100000,3019.07054,26.49822153
29,2.9,46,107,46,21,0.3,0.8,0.5,80000,50000,6647.610055,12.03440023
30,3.7,86,92,44,52,1,2,2,200000,200000,23235.21927,8.607622666
31,5.6,24,45,22,19,1,1,2,100000,200000,1809.557368,55.26213302
33,5.3,27,87,23,20,1,1,2,100000,200000,2290.221044,43.66390757
35,5.9,76,71,77,27,4,5,6,500000,600000,18145.83917,27.55452616
36,2.7,47,74,36,25,1,0.7,2,70000,200000,6939.778172,10.08677774
39,7.9,34,86,26,23,1,4,2,400000,200000,3631.681108,110.1418291
40,1.8,28,137,29,18,0.3,0.2,0.5,20000,50000,2463.00864,8.120150158
41,2.6,29,162,23,21,0.5,0.4,0.8,40000,80000,2642.079422,15.13959031
43,4.6,19,106,20,18,0.6,0.7,1,70000,100000,1134.114948,61.7221386
44,5,33,168,22,26,0.8,2,1,200000,100000,3421.1944,58.45911592
45,8.1,16,85,26,16,2,2,4,200000,400000,804.2477193,248.6795986
46,4.6,50,110,37,26,1,2,2,200000,200000,7853.981634,25.46479089
48,6.3,37,111,30,22,0.9,3,2,300000,200000,4300.840343,69.75380997
50,5.3,41,53,43,20,2,2,3,200000,300000,5281.017251,37.87149152
52,3.5,20,37,26,17,0.4,0.5,0.6,50000,60000,1256.637061,39.78873577
55,14,39,86,33,21,3,10,5,1000000,500000,4778.362426,209.2767168
58,8.6,61,18,59,24,4,8,7,800000,700000,11689.86626,68.43534237
59,7.7,20,72,26,17,0.9,2,1,200000,100000,1256.637061,159.1549431
60,2.8,21,58,29,17,0.3,0.3,0.5,30000,50000,1385.44236,21.65373375
61,1.7,36,47,28,22,0.3,0.2,0.4,20000,40000,4071.504079,4.912189602
62,5.9,45,66,30,28,2,3,3,300000,300000,6361.725124,47.15702018
63,10.5,72,2,56,31,6,10,10,1000000,1000000,16286.01632,61.40237002
64,6.5,48,131,45,22,0.6,4,1,400000,100000,7238.229474,55.26213302
65,2.6,23,53,27,17,0.3,0.3,0.5,30000,50000,1661.902514,18.05160035
66,6.2,64,138,58,25,2,5,3,500000,300000,12867.96351,38.85618728
67,7.4,23,137,30,17,2,2,3,200000,300000,1661.902514,120.3440023
68,7.7,71,37,67,26,4,8,6,800000,600000,15836.76857,50.51535587
69,4.7,55,83,46,25,3,2,5,200000,500000,9503.317777,21.04528173
70,6.9,37,110,29,23,1,3,2,300000,200000,4300.840343,69.75380997
71,8.5,60,168,50,26,6,8,10,800000,1000000,11309.73355,70.73553026
72,6.4,17,54,21,17,3,1,4,100000,400000,907.9202769,110.1418291
74,4.9,55,76,36,30,2,3,4,300000,400000,9503.317777,31.5679226
75,5.9,38,100,29,23,1,2,2,200000,200000,4536.459792,44.08724185
76,4.3,45,145,35,24,0.7,2,1,200000,100000,6361.725124,31.43801345
77,3.3,35,152,29,21,0.9,0.7,1,70000,100000,3848.451001,18.18913635
