ncl,mass,mass error,R,velocity disp
1,310000,90000,124.7013494,3.456006247
2,210000,50000,102.240435,4.465868244
3,250000,210000,122.893395,2.540468299
4,100000,50000,95.18217554,2.232482738
5,170000,110000,105.9511517,2.642721926
6,160000,150000,122.3044829,2.335375596
7,350000,100000,152.8124227,2.948555439
8,140000,100000,106.9346835,3.050242478
9,250000,130000,122.0089609,3.557243199
10,170000,70000,102.9091179,2.642721926
11,140000,120000,109.2061653,2.232482738
12,480000,110000,169.9156454,6.476417156
13,110000,140000,87.14348249,4.868673246
14,90000,50000,99.77437817,1.501325806
15,260000,160000,119.4977261,3.658412111
16,40000,30000,88.37752282,1.712886212
17,220000,40000,100.8002805,2.948555439
18,770000,90000,141.5161706,4.465868244
19,470000,140000,194.1684489,4.062508976
20,190000,170000,106.0873533,2.335375596
21,450000,110000,127.0530068,4.868673246
22,600000,70000,122.7464319,3.961562719
23,170000,100000,120.2055595,3.151821565
24,220000,100000,104.4066403,3.860567209
25,170000,140000,113.1034329,4.062508976
26,630000,160000,181.1248921,3.25330281
27,130000,120000,101.8512962,2.948555439
28,360000,120000,120.9689487,3.961562719
29,420000,130000,134.1566493,4.062508976
30,110000,80000,107.2885667,1.607476027
31,590000,200000,189.5205702,6.576775743
32,60000,50000,86.64494526,2.335375596
33,250000,90000,119.6185042,3.050242478
34,640000,150000,169.063676,3.658412111
35,200000,250000,100.6748555,5.874008782
36,300000,80000,114.6252439,2.846748878
37,500000,110000,178.2317215,2.642721926
38,150000,60000,109.0573085,2.232482738
39,200000,120000,108.7091833,2.642721926
40,130000,60000,96.35074748,4.062508976
41,280000,60000,134.0893603,3.759518477
42,310000,110000,127.6907066,2.540468299
43,30000,30000,75.41821093,1.501325806
44,140000,90000,108.7091833,3.25330281
45,210000,130000,127.0530068,3.25330281
46,340000,70000,117.1022482,2.948555439
47,410000,90000,144.357461,3.557243199
48,290000,70000,125.5955674,3.456006247
49,250000,70000,118.6184073,2.540468299
50,270000,160000,131.6303405,2.744809497
51,230000,80000,120.1304563,2.744809497
52,90000,60000,92.11762339,2.232482738
53,70000,50000,102.9441914,1.501325806
54,150000,120000,110.8466803,3.759518477
55,70000,100000,97.17153153,2.232482738
56,240000,110000,120.8047041,3.456006247
57,180000,100000,115.5037079,2.642721926
58,120000,90000,95.44729718,2.232482738
59,270000,150000,121.7720269,3.151821565
60,190000,140000,112.8957773,3.151821565
61,340000,120000,123.1428298,4.062508976
62,190000,60000,110.2589069,3.151821565
63,140000,130000,100.746546,2.948555439
64,300000,200000,116.499556,2.438027723
65,130000,90000,104.3893507,4.163409561
66,110000,90000,100.9613121,2.846748878
67,90000,140000,95.44729718,2.744809497
68,50000,70000,95.18217554,1.607476027
69,410000,140000,119.88981,4.365086388
70,370000,180000,118.4204228,5.27105105
71,90000,60000,103.9561761,1.712886212
72,40000,30000,81.84562627,1.92197273
73,100000,80000,102.5929166,2.335375596
74,180000,130000,104.9584039,4.062508976
75,80000,40000,99.77437817,1.394266537
76,350000,50000,134.1297377,1.607476027
77,370000,90000,133.252154,2.540468299
78,170000,270000,155.0287926,2.335375596
79,130000,100000,94.49701868,3.961562719
80,820000,130000,185.3702688,5.27105105
81,620000,70000,139.7707643,3.456006247
82,380000,140000,148.5235892,4.667331055
83,60000,50000,90.0166459,1.607476027
84,100000,130000,104.1296622,2.438027723
85,90000,70000,97.32002127,3.050242478
86,1280000,80000,223.3578889,4.969303691
87,280000,160000,143.2529111,3.151821565
88,160000,90000,108.343281,2.540468299
89,330000,120000,162.531617,4.365086388
90,400000,130000,138.4994099,3.658412111
91,1110000,80000,135.9077501,4.969303691
92,110000,80000,96.18199696,2.438027723
93,60000,60000,94.47791562,1.817685115
94,70000,60000,110.8792431,4.264267719
95,500000,120000,189.8250946,3.354695094
96,190000,110000,113.2788442,2.438027723
97,60000,70000,88.80538576,2.642721926
98,80000,100000,97.69025816,2.948555439
99,440000,140000,142.5835423,4.465868244
100,230000,150000,143.617849,2.540468299
101,120000,100000,97.63481213,2.12931425
102,120000,80000,92.29380553,3.456006247
103,180000,60000,126.9108606,3.456006247
104,110000,90000,111.5123156,2.232482738
105,500000,70000,115.628658,3.961562719
106,70000,70000,87.55676182,3.050242478
107,150000,80000,106.748848,2.948555439
108,80000,100000,105.6953005,1.92197273
109,550000,140000,176.2765627,3.050242478
110,60000,80000,97.02281453,2.232482738
111,130000,70000,98.81091306,2.744809497
112,140000,180000,94.1717396,2.846748878
113,90000,60000,82.28551841,3.456006247
114,130000,50000,107.8088426,3.050242478
115,50000,70000,104.6138927,1.817685115
116,220000,240000,151.113886,3.557243199
117,130000,90000,108.4099006,3.759518477
118,60000,110000,95.3337639,2.232482738
119,70000,70000,110.1278645,3.557243199
120,400000,110000,147.1070921,3.658412111
121,190000,110000,120.5204818,3.050242478
122,170000,120000,139.2013884,2.438027723
123,230000,120000,113.6764995,3.050242478
124,1000000,110000,184.2372833,4.062508976
125,230000,140000,120.2956214,3.25330281
126,350000,70000,118.7096733,3.860567209
127,90000,60000,104.1643247,1.92197273
128,190000,180000,95.3337639,4.566615725
129,60000,50000,84.10794576,2.642721926
