ncl,mass,mass error,R,velocity disp,R take 2
1,310000,90000,124.7013494,3.456006247,91.22497803
2,210000,50000,102.240435,4.465868244,56.3105622
3,250000,210000,122.893395,2.540468299,88.71094755
4,100000,50000,95.18217554,2.232482738,41.98467358
5,170000,110000,105.9511517,2.642721926,62.86153685
6,160000,150000,122.3044829,2.335375596,87.88463014
7,350000,100000,152.8124227,2.948555439,127.3009847
8,140000,100000,106.9346835,3.050242478,64.52257447
9,250000,130000,122.0089609,3.557243199,87.46854415
10,170000,70000,102.9091179,2.642721926,57.52831664
11,140000,120000,109.2061653,2.232482738,68.25909621
12,480000,110000,169.9156454,6.476417156,147.5922952
13,110000,140000,87.14348249,4.868673246,16.78047126
14,90000,50000,99.77437817,1.501325806,51.64728082
15,260000,160000,119.4977261,3.658412111,83.8919866
16,40000,30000,88.37752282,1.712886212,22.37119165
17,220000,40000,100.8002805,2.948555439,53.62260079
18,770000,90000,141.5161706,4.465868244,113.3386104
19,470000,140000,194.1684489,4.062508976,175.2333821
20,190000,170000,106.0873533,2.335375596,63.0932454
21,450000,110000,127.0530068,4.868673246,94.4472605
22,600000,70000,122.7464319,3.961562719,88.50509147
23,170000,100000,120.2055595,3.151821565,84.90775062
24,220000,100000,104.4066403,3.860567209,60.19338681
25,170000,140000,113.1034329,4.062508976,74.39656051
26,630000,160000,181.1248921,3.25330281,160.4989552
27,130000,120000,101.8512962,2.948555439,55.59335586
28,360000,120000,120.9689487,3.961562719,85.99639071
29,420000,130000,134.1566493,4.062508976,103.9009548
30,110000,80000,107.2885667,1.607476027,65.11353712
31,590000,200000,189.5205702,6.576775743,170.0134607
32,60000,50000,86.64494526,2.335375596,13.92945856
33,250000,90000,119.6185042,3.050242478,84.06574936
34,640000,150000,169.063676,3.658412111,146.6002647
35,200000,250000,100.6748555,5.874008782,53.38395467
36,300000,80000,114.6252439,2.846748878,76.71418262
37,500000,110000,178.2317215,2.642721926,157.1917995
38,150000,60000,109.0573085,2.232482738,68.01816901
39,200000,120000,108.7091833,2.642721926,67.45265907
40,130000,60000,96.35074748,4.062508976,44.59702922
41,280000,60000,134.0893603,3.759518477,103.8131394
42,310000,110000,127.6907066,2.540468299,95.31237861
43,30000,30000,75.41821093,1.501325806,#NUM!
44,140000,90000,108.7091833,3.25330281,67.45265907
45,210000,130000,127.0530068,3.25330281,94.4472605
46,340000,70000,117.1022482,2.948555439,80.40593085
47,410000,90000,144.357461,3.557243199,116.9036489
48,290000,70000,125.5955674,3.456006247,92.45636168
49,250000,70000,118.6184073,2.540468299,82.62127823
50,270000,160000,131.6303405,2.744809497,100.5826119
51,230000,80000,120.1304563,2.744809497,84.80026896
52,90000,60000,92.11762339,2.232482738,34.38989555
53,70000,50000,102.9441914,1.501325806,57.59169572
54,150000,120000,110.8466803,3.759518477,70.88098628
55,70000,100000,97.17153153,2.232482738,46.36174518
56,240000,110000,120.8047041,3.456006247,85.76275483
57,180000,100000,115.5037079,2.642721926,78.03434767
58,120000,90000,95.44729718,2.232482738,42.58856907
59,270000,150000,121.7720269,3.151821565,87.13424479
60,190000,140000,112.8957773,3.151821565,74.07714165
61,340000,120000,123.1428298,4.062508976,89.05981089
62,190000,60000,110.2589069,3.151821565,69.94842826
63,140000,130000,100.746546,2.948555439,53.52045418
64,300000,200000,116.499556,2.438027723,79.5162739
65,130000,90000,104.3893507,4.163409561,60.16307602
66,110000,90000,100.9613121,2.846748878,53.92787976
67,90000,140000,95.44729718,2.744809497,42.58856907
68,50000,70000,95.18217554,1.607476027,41.98467358
69,410000,140000,119.88981,4.365086388,84.45540845
70,370000,180000,118.4204228,5.27105105,82.33377385
71,90000,60000,103.9561761,1.712886212,59.40027959
72,40000,30000,81.84562627,1.92197273,#NUM!
73,100000,80000,102.5929166,2.335375596,56.95473128
74,180000,130000,104.9584039,4.062508976,61.15540054
75,80000,40000,99.77437817,1.394266537,51.64728082
76,350000,50000,134.1297377,1.607476027,103.8658376
77,370000,90000,133.252154,2.540468299,102.7179912
78,170000,270000,155.0287926,2.335375596,129.9808894
79,130000,100000,94.49701868,3.961562719,40.39036043
80,820000,130000,185.3702688,5.27105105,165.3246676
81,620000,70000,139.7707643,3.456006247,111.1282998
82,380000,140000,148.5235892,4.667331055,122.0635937
83,60000,50000,90.0166459,1.607476027,28.212875
84,100000,130000,104.1296622,2.438027723,59.70656761
85,90000,70000,97.32002127,3.050242478,46.67543482
86,1280000,80000,223.3578889,4.969303691,207.4191983
87,280000,160000,143.2529111,3.151821565,115.5224234
88,160000,90000,108.343281,2.540468299,66.85508968
89,330000,120000,162.531617,4.365086388,138.9344364
90,400000,130000,138.4994099,3.658412111,109.5079231
91,1110000,80000,135.9077501,4.969303691,106.1758424
92,110000,80000,96.18199696,2.438027723,44.22739101
93,60000,60000,94.47791562,1.817685115,40.34517463
94,70000,60000,110.8792431,4.264267719,70.93243557
95,500000,120000,189.8250946,3.354695094,170.3564381
96,190000,110000,113.2788442,2.438027723,74.66577071
97,60000,70000,88.80538576,2.642721926,24.02249603
98,80000,100000,97.69025816,2.948555439,47.4505871
99,440000,140000,142.5835423,4.465868244,114.6825227
100,230000,150000,143.617849,2.540468299,115.9794172
101,120000,100000,97.63481213,2.12931425,47.33512349
102,120000,80000,92.29380553,3.456006247,34.86399024
103,180000,60000,126.9108606,3.456006247,94.25393369
104,110000,90000,111.5123156,2.232482738,71.92834153
105,500000,70000,115.628658,3.961562719,78.22112385
106,70000,70000,87.55676182,3.050242478,18.82939765
107,150000,80000,106.748848,2.948555439,64.21085201
108,80000,100000,105.6953005,1.92197273,62.42476524
109,550000,140000,176.2765627,3.050242478,154.947819
110,60000,80000,97.02281453,2.232482738,46.04591856
111,130000,70000,98.81091306,2.744809497,49.74024845
112,140000,180000,94.1717396,2.846748878,39.61519299
113,90000,60000,82.28551841,3.456006247,#NUM!
114,130000,50000,107.8088426,3.050242478,65.97623675
115,50000,70000,104.6138927,1.817685115,60.55593295
116,220000,240000,151.113886,3.557243199,125.2352283
117,130000,90000,108.4099006,3.759518477,66.96413529
118,60000,110000,95.3337639,2.232482738,42.33081166
119,70000,70000,110.1278645,3.557243199,69.73949968
120,400000,110000,147.1070921,3.658412111,120.3176683
121,190000,110000,120.5204818,3.050242478,85.3576957
122,170000,120000,139.2013884,2.438027723,110.4037256
123,230000,120000,113.6764995,3.050242478,75.27403148
124,1000000,110000,184.2372833,4.062508976,164.0398309
125,230000,140000,120.2956214,3.25330281,85.03654929
126,350000,70000,118.7096733,3.860567209,82.75363566
127,90000,60000,104.1643247,1.92197273,59.76763686
128,190000,180000,95.3337639,4.566615725,42.33081166
129,60000,50000,84.10794576,2.642721926,#NUM!
130,60000,50000,118.6184073,2.232482738,82.62127823
131,240000,100000,133.765902,2.642721926,103.3905872
132,440000,70000,132.7500152,3.050242478,102.058836
133,50000,40000,95.3337639,1.176426443,42.33081166
134,270000,170000,149.4081207,2.948555439,123.1496334
135,220000,80000,114.814052,2.744809497,76.99898061
136,1070000,110000,297.7464131,8.381764682,286.6984855
137,80000,80000,85.57591098,3.151821565,2.824308002
138,140000,90000,109.0407563,2.744809497,67.99134662
139,190000,100000,107.4566728,4.163409561,65.39307085
140,160000,90000,144.4324636,2.025828022,116.9972295
141,90000,110000,106.5626883,5.27105105,63.89760884
142,160000,40000,103.0843661,3.759518477,57.84451759
143,130000,110000,128.8586301,2.232482738,96.8877795
144,120000,60000,99.50264589,3.961562719,51.11477395
145,90000,40000,88.1320971,3.557243199,21.37037706
146,90000,50000,89.91633077,2.025828022,27.88773594
147,110000,60000,97.50531544,2.438027723,47.06460683
148,100000,90000,87.37102803,6.877788829,17.93636852
149,90000,90000,88.74438878,3.25330281,23.79361292
