ncl,mass,mass error,R,velocity disp,R take 2,area,density,velocity metric
1,310000,90000,124.7013494,3.456006247,91.22497803,26144.32343,11.85725845,0.1309288249
2,210000,50000,102.240435,4.465868244,56.3105622,9961.611476,21.08092656,0.3541782997
3,250000,210000,122.893395,2.540468299,88.71094755,24723.17875,10.11196831,0.07275290544
4,100000,50000,95.18217554,2.232482738,41.98467358,5537.725632,18.05795495,0.1187094897
5,170000,110000,105.9511517,2.642721926,62.86153685,12414.23213,13.69396015,0.1111009932
6,160000,150000,122.3044829,2.335375596,87.88463014,24264.74499,6.593928767,0.06205839594
7,350000,100000,152.8124227,2.948555439,127.3009847,50911.20763,6.87471416,0.06829467343
8,140000,100000,106.9346835,3.050242478,64.52257447,13078.96109,10.70421412,0.1441972713
9,250000,130000,122.0089609,3.557243199,87.46854415,24035.52811,10.40126928,0.1446689127
10,170000,70000,102.9091179,2.642721926,57.52831664,10397.12356,16.35067614,0.121400722
11,140000,120000,109.2061653,2.232482738,68.25909621,14637.63589,9.564386012,0.07301560454
12,480000,110000,169.9156454,6.476417156,147.5922952,68434.83834,7.013971417,0.2841881354
13,110000,140000,87.14348249,4.868673246,16.78047126,884.6229034,124.3467692,1.412593175
14,90000,50000,99.77437817,1.501325806,51.64728082,8380.014985,10.7398376,0.04364177823
15,260000,160000,119.4977261,3.658412111,83.8919866,22110.10629,11.75932836,0.1595382314
16,40000,30000,88.37752282,1.712886212,22.37119165,1572.273553,25.4408655,0.1311498833
17,220000,40000,100.8002805,2.948555439,53.62260079,9033.2831,24.35437897,0.1621327397
18,770000,90000,141.5161706,4.465868244,113.3386104,40355.77016,19.08029501,0.1759680933
19,470000,140000,194.1684489,4.062508976,175.2333821,96468.06315,4.872078744,0.09418284908
20,190000,170000,106.0873533,2.335375596,63.0932454,12505.91888,15.19280605,0.08644315473
21,450000,110000,127.0530068,4.868673246,94.4472605,28023.90187,16.05772108,0.2509758256
22,600000,70000,122.7464319,3.961562719,88.50509147,24608.57031,24.38174962,0.1773228965
23,170000,100000,120.2055595,3.151821565,84.90775062,22648.76596,7.505927709,0.1169973189
24,220000,100000,104.4066403,3.860567209,60.19338681,11382.75615,19.32748071,0.2476016048
25,170000,140000,113.1034329,4.062508976,74.39656051,17388.23849,9.776723506,0.2218379327
26,630000,160000,181.1248921,3.25330281,160.4989552,80927.15853,7.784778453,0.06594422475
27,130000,120000,101.8512962,2.948555439,55.59335586,9709.472907,13.38898633,0.1563852198
28,360000,120000,120.9689487,3.961562719,85.99639071,23233.26901,15.49502138,0.182495789
29,420000,130000,134.1566493,4.062508976,103.9009548,33914.77575,12.38398281,0.1588433832
30,110000,80000,107.2885667,1.607476027,65.11353712,13319.63882,8.258482193,0.03968420841
31,590000,200000,189.5205702,6.576775743,170.0134607,90806.40619,6.497338952,0.2544150269
32,60000,50000,86.64494526,2.335375596,13.92945856,609.5626438,98.4312287,0.3915427977
33,250000,90000,119.6185042,3.050242478,84.06574936,22201.79304,11.26035179,0.1106750281
34,640000,150000,169.063676,3.658412111,146.6002647,67517.97083,9.478957856,0.09129573675
35,200000,250000,100.6748555,5.874008782,53.38395467,8953.057193,22.33873812,0.6463361395
36,300000,80000,114.6252439,2.846748878,76.71418262,18488.47953,16.2263208,0.1056386042
37,500000,110000,178.2317215,2.642721926,157.1917995,77626.43544,6.441104724,0.04442966618
38,150000,60000,109.0573085,2.232482738,68.01816901,14534.4883,10.32028077,0.07327423316
39,200000,120000,108.7091833,2.642721926,67.45265907,14293.81057,13.99207014,0.103538975
40,130000,60000,96.35074748,4.062508976,44.59702922,6248.297969,20.8056659,0.3700690263
41,280000,60000,134.0893603,3.759518477,103.8131394,33857.47154,8.26996191,0.1361482685
42,310000,110000,127.6907066,2.540468299,95.31237861,28539.63986,10.86208521,0.06771396614
44,140000,90000,108.7091833,3.25330281,67.45265907,14293.81057,9.794449095,0.1569097397
45,210000,130000,127.0530068,3.25330281,94.4472605,28023.90187,7.493603173,0.1120623205
46,340000,70000,117.1022482,2.948555439,80.40593085,20310.75375,16.73990065,0.1081260932
47,410000,90000,144.357461,3.557243199,116.9036489,42934.46016,9.549438807,0.1082428076
48,290000,70000,125.5955674,3.456006247,92.45636168,26854.89577,10.79877586,0.1291850443
49,250000,70000,118.6184073,2.540468299,82.62127823,21445.37733,11.65752396,0.07811521822
50,270000,160000,131.6303405,2.744809497,100.5826119,31783.05876,8.495091742,0.07490339565
51,230000,80000,120.1304563,2.744809497,84.80026896,22591.46174,10.18083746,0.08884381226
52,90000,60000,92.11762339,2.232482738,34.38989555,3715.451412,24.22316699,0.1449256852
53,70000,50000,102.9441914,1.501325806,57.59169572,10420.04524,6.717821118,0.03913722539
