Identifier,,Lat,Lon,MajAxis,MinAxis,PosAng,VLSR,vel disp,d,Reff,N0H2,mass,density,n,alphavir,xrad,vel disp not fwhm
G104.767-03.132-041.32,,104.767,-3.132,204,55,93,-41.32,1.08,3.73,2.21,6.50E+20,520,33.8,166,5.7,4.2211,0.4586337722
G104.790+01.372-048.22,,104.79,1.372,109,40,162,-48.22,0.62,4.32,1.55,5.50E+20,244.2,32.4,228,2.8,2.9605,0.2632897581
G104.827+00.885-001.44,,104.827,0.885,182,149,75,-1.44,1.16,0.23,0.22,5.10E+20,4.8,32.7,1655,70.1,0.4202,0.4926066442
G104.833+00.155-065.87,,104.833,0.155,354,152,55,-65.87,1.33,5.91,7.82,7.70E+20,8169.8,42.5,59,2,14.9362,0.5647989972
G104.845-01.155-013.37,,104.845,-1.155,224,195,-161,-13.37,1.27,0.24,0.29,7.40E+20,8.5,31.9,1199,64,0.5539,0.5393193432
G104.863+01.003-050.03,,104.863,1.003,111,90,124,-50.03,1.05,4.48,2.51,5.60E+20,722.7,36.5,158,4.4,4.7941,0.4458939452
G104.913+02.753-024.20,,104.913,2.753,607,412,106,-24.2,0.82,1.73,4.93,9.80E+20,4327.6,56.6,125,0.9,9.4163,0.3482219381
G104.950+01.082-058.92,,104.95,1.082,146,45,126,-58.92,1.31,5.26,2.37,3.60E+20,254.7,14.4,66,18.4,4.5267,0.5563057792
G104.983-02.678-042.50,,104.983,-2.678,301,79,123,-42.5,1.2,3.82,3.34,8.00E+20,1117.6,31.8,103,5,6.3794,0.5095930802
G104.985+02.011-020.40,,104.985,2.011,409,272,-169,-20.4,2.23,1.73,3.29,1.60E+21,5038.7,148.2,492,3.8,6.2839,0.9469938073
G104.998+00.735-054.11,,104.998,0.735,221,55,175,-54.11,0.77,4.82,2.99,4.30E+20,587.6,20.9,76,3.5,5.7109,0.3269888931
G105.057+02.266-002.05,,105.057,2.266,287,101,159,-2.05,0.43,0.35,0.34,3.30E+20,7.6,20.7,659,9.5,0.6494,0.1826041871
G105.094+01.123-047.81,,105.094,1.123,496,281,-176,-47.81,1.9,4.27,9.11,1.40E+21,21978.9,84.3,101,1.7,17.4001,0.8068557103
