ncl,"(Deltaalpha, Deltadelta)^a",v_LSR,vel disp,r,S_CO(2-1),mvir
2,"(-6.3, -1.3)",368,4.5,10.5,3.32 +or- 0.12,216000
3,"(-3.6, -0.9)",368,2.7,4.6,0.77 +or- 0.09,34000
4,"(-6.9, -2.5)",366,0.9,2.7,0.14 +or- 0.19,2000
5,"(-1.2, -1.3)",368,2.3,4.2,0.47 +or- 0.10,24000
6,"(-7.3, -3.6)",374,4,9.7,1.67 +or- 0.29,163000
8,"(-1.7, 5.1)",398,8.1,12.1,8.99 +or- 0.16,831000
9,"(8.3, -0.2)",375,1.2,4.5,0.11 +or- 0.21,6000
10,"(5.6, 7.1)",377,1.7,1.7,0.11 +or- 0.13,5000
11,"(-4.8, -6.5)",379,4.3,2.8,0.37 +or- 0.29,54000
12,"(-5.4, -1.4)",376,1.4,3.1,0.17 +or- 0.26,6000
13,"(-0.1, -8.5)",382,1.4,3.8,0.23 +or- 0.11,8000
14,"(-3.8, 4.4)",386,2.4,2.2,0.58 +or- 0.04,13000
16,"(8.7, 0.4)",384,2.2,3.1,0.10 +or- 0.18,15000
17,"(-4.0, 1.6)",387,6.3,4.9,0.47 +or- 0.68,200000
18,"(-4.4, 4.5)",386,2.4,3.1,0.20 +or- 0.19,18000
19,"(-0.8, 1.9)",388,2.2,2.8,0.37 +or- 0.06,14000
20,"(5.0, -6.4)",389,2.1,3.7,0.22 +or- 0.19,16000
22,"(-9.6, 10.3)",389,1,6.2,0.65 +or- 0.15,7000
23,"(6.4, 10.7)",388,1.4,3.5,0.28 +or- 0.09,7000
24,"(6.1, 11.0)",388,1.3,3.2,0.14 +or- 0.06,5000
25,"(-1.7, 12.4)",388,0.7,1.9,0.13 +or- 0.07,1000
26,"(-2.8, 1.2)",390,1.5,3,0.18 +or- 0.13,7000
27,"(0.3, 3.7)",389,2.7,2.9,0.10 +or- 0.20,22000
28,"(-0.6, 2.4)",397,3.1,5.7,1.45 +or- 0.11,57000
29,"(-0.5, 3.1)",393,2,2.3,0.36 +or- 0.05,9000
30,"(-4.4, 5.0)",393,1.8,4,0.25 +or- 0.14,13000
31,"(1.2, 7.0)",396,2.7,4.8,0.81 +or- 0.09,37000
32,"(-0.2, 7.2)",397,3.3,5.6,1.53 +or- 0.08,64000
33,"(6.0, 9.8)",393,1.6,3.9,0.28 +or- 0.08,11000
34,"(-4.9, 2.2)",394,0.7,2,0.17 +or- 0.04,1000
35,"(-1.5, 3.7)",396,3.1,2,0.18 +or- 0.14,21000
36,"(-6.6, 5.0)",396,2.3,5.8,0.72 +or- 0.11,33000
37,"(-7.1, 4.7)",395,2.8,4.4,0.50 +or- 0.11,37000
38,"(2.3, 6.1)",397,2.1,7.8,1.15 +or- 0.13,36000
39,"(6.5, 8.2)",393,1,2.5,0.17 +or- 0.07,2000
42,"(1.4, 4.5)",395,3.6,1.8,0.15 +or- 0.11,25000
44,"(-0.9, 4.3)",398,2.8,2.1,0.25 +or- 0.13,17000
46,"(-3.4, 5.7)",403,6.1,4.6,0.80 +or- 0.39,177000
47,"(19.9, -6.2)",399,1,6.7,0.54 +or- 0.19,7000
48,"(-5.3, 3.4)",400,2.3,1.5,0.10 +or- 0.12,8000
49,"(1.9, 5.0)",400,1.9,4,0.46 +or- 0.25,16000
50,"(-2.2, -7.6)",403,2.1,1.5,0.18 +or- 0.07,7000
51,"(18.2, -5.5)",402,1.5,2.1,0.28 +or- 0.06,5000
52,"(-2.2, -1.1)",401,1.8,2.5,0.13 +or- 0.11,8000
53,"(-2.2, 3.1)",408,4.3,5.6,1.50 +or- 0.13,105000
54,"(2.3, 3.4)",400,1.9,2.7,0.14 +or- 0.14,10000
55,"(-0.7, 3.7)",405,3.6,3.8,0.51 +or- 0.10,51000
56,"(-1.7, -0.9)",402,1.1,2.5,0.06 +or- 0.11,3000
57,"(2.5, 3.7)",404,1.4,2,0.18 +or- 0.08,4000
