ncl,v,a/b,pa,r,vel disp,mlum,mvir,LCO,Tmax
DCL23-A1,171.8,3.1,23.1,19.6,4.6,206000,77400,116,4.296
DCL30-A1,194.7,1.36,-73.2,28.8,4.9,80500,128000,48.9,1.819
DCL31-A1,191.9,4.23,-74.8,4.5,3.6,22600,10800,13.7,2.082
DCL34-A1,186.9,1.91,69.9,22.9,4.2,78300,75000,51.2,2.067
DCL34-A2,185.5,10.9,-85.1,9.3,2.9,18200,14600,11.9,1.545
DCL34-A7,192.2,2.16,77.1,36.6,5,181000,174000,118,2.575
DCL37-A3,186,3.53,-31.1,19.4,6.3,102000,146000,75.9,3.357
DCL37-A4,181.3,3.76,-50.4,4.7,4.5,8300,17500,6.2,1.2
DCL41-A1,158.7,10.29,13.6,7.5,4.3,90900,26400,73.4,4.592
DCL41-A2,163.5,2.03,78,52.6,8,462000,637000,373,3.191
DCL41-A3,173.3,2.47,9.9,18.1,6.9,45200,163000,36.5,1.293
DCL41-A4,168.4,3.7,-51.3,31.2,7.2,215000,304000,173,4.696
DCL41-A5,168.3,1.7,45.7,15.9,3.5,35300,36000,28.5,1.729
DCL41-A6,170.6,5.49,-82.7,13.1,3.2,14100,25700,11.3,1.307
DCL41-A9,178.6,3,-54.3,18.2,3.9,45200,53200,36.5,2.051
DCL45-A1,161.4,1.94,76.1,16.4,5.9,72500,107000,62,2.436
DCL45-A3,168.5,6.93,-77.3,10.7,3,15600,17800,13.3,2.184
DCL45-A4,169.7,3.56,-22.8,19.1,3.5,38600,43600,33,1.74
DCL46-A1,165.4,2.64,-16.2,12.7,4.3,38300,43200,29.2,2.98
DCL46-A3,173.7,4.92,-57.4,11.1,3.6,12800,27100,9.7,1.267
DCL49-A1,169.3,4.14,-83.8,4.4,4.2,28100,14900,23.9,3.217
DCL49-A2,169.4,3.85,26.6,14.9,5.9,32600,97300,27.8,1.256
DCL49-A4,171.5,1.29,-43.6,14.3,3.7,42900,36800,36.7,3.04
DCL52-A1,176.1,15.33,88,11.4,4.5,46100,43900,41.5,2.09
DCL52-A6,177.1,4.07,-25.3,5.3,3.4,75800,11400,68.4,9.746
DCL52-A7,178.2,2.15,15.2,15.7,2.9,79700,24600,71.8,4.553
DCL52-A8,184.6,5.15,73.3,22.1,6.2,137000,157000,123,3.979
DCL53C-A1,156.9,3.73,52.4,50.4,4.3,321000,175000,260,6.011
DCL53C-A3,163.8,1.68,-30,11,3.6,54200,26800,43.7,4.124
DCL53C-A4,162.3,3.32,40,12.9,2.6,16900,17000,13.6,1.267
DCL53C-A5,166.4,2.83,-87.5,9.6,3.7,25300,24200,20.4,1.919
DCL56-A2,167.8,4.32,-42.1,21.6,3.9,94100,62200,89.3,3.498
DCL56-A3,169.8,5.6,82.3,12,3.9,23700,34900,22.5,1.899
DCL61-A3,159.9,3.76,10.7,5.5,4.4,18300,19600,15.9,2.186
DCL61-A4,159,2.24,-41,8.5,3.8,25900,22400,22.6,2.093
DCL61-A6,162.7,3.37,78.5,17.8,3.8,41100,47300,35.6,2.104
DCL61-A8,161.3,1.58,-51.2,15.3,2.6,21700,19600,19,1.881
DCL63-A4,152.9,1.99,-24.6,13.2,3.8,25000,34800,19.8,1.75
DCL65-A3,159.2,4.82,-83.6,9.4,5.2,75800,47900,50.6,3.469
DCL65-A4,159.7,1.61,9.3,10.5,5,35700,49000,23.9,1.649
DCL65-A5,159.3,2.6,86.4,16,2.8,51500,23600,34.5,2.3
DCL66-A2,153.5,1.68,-73.2,15.1,5.5,82600,86400,66.8,3.749
DCL66-A3,152.3,2.67,-61.8,16.2,3.6,32000,40200,25.9,1.979
DCL68-A2,153.8,1.65,83.1,29.1,6.7,200000,245000,165,3.226
DCL68-A3,151.7,5.06,-61.7,14.5,3.3,19200,29200,15.8,1.959
DCL68-A4,154.5,1.88,18.6,12.3,3.7,50900,31900,41.8,3.533
DCL69-A1,137.5,1.93,58.4,13.8,4.2,16700,46200,13.9,0.933
DCL69-A2,139.4,2.7,-81.1,23.4,3.7,25700,59200,21.6,1.094
DCL69-A3,141.9,2.39,-30.2,57.8,7.1,369000,547000,309,3.936
DCL76C-A1,147.8,2.04,72.6,18.7,6.4,95600,144000,103,3.013
DCL76C-A3,150.5,1.25,2.3,19,5.6,107000,111000,115,5.348
DCL76C-A4,156.4,1.52,-46,10.4,4,8100,30600,8.7,1.494
