ncl,mass from summing all,mass from summing mom0
1,2884959.2,3307738.0
2,28042882.0,16929582.0
3,18757586.0,16774595.0
4,4444931.0,2952610.0
5,17027992.0,15172041.0
6,7550852.5,5846137.0
7,13893643.0,6324535.0
8,5069433.5,3217128.2
9,1758153.1,969991.7
10,19580026.0,10020722.0
11,4357201.5,4216716.5
12,1173405.2,1153495.1
13,4032283.2,3693916.8
14,631191.2,597032.5
15,69617.0,84837.58
16,1201490.9,648634.56
17,532892.25,656218.25
18,199128.22,279227.72
19,160593.22,191693.84
20,271015.9,437462.3
21,184160.02,127539.21
22,152856.06,212158.47
23,332614.5,342547.84
24,986788.9,528849.4
25,208055.08,306867.75
26,149624.08,204861.47
27,248644.27,256857.03
28,58899.34,83367.7
29,55162.88,52928.77
30,62030.164,93138.18
31,6386578.0,3484735.2
32,473681.06,357300.6
33,82493.66,90086.24
34,218560.58,220751.19
35,100834.22,121823.26
36,126186.32,150217.88
37,144182.34,237067.47
38,291285.94,254649.66
39,44424.867,75757.35
40,170838.12,211266.98
41,498310.7,298140.16
42,217014.36,237504.81
43,224304.3,306515.34
44,111531.18,96831.97
45,536177.5,180492.3
46,52701.88,69555.25
47,154599.89,156810.42
48,10495.178,18503.934
49,55806.4,81914.44
50,31681.037,56283.36
51,238368.9,184633.5
52,25945.691,32631.193
53,24951.084,33145.402
54,27165.924,31189.537
55,432112.66,351051.4
56,18457.645,27021.959
57,31442.512,33632.957
58,89079.43,87515.11
59,23579.889,26311.549
60,2392.8962,5713.0244
61,31290.475,50256.957
62,7513.5728,16656.799
63,36187.566,67124.516
64,17381.541,23965.879
65,3804.3232,11366.345
66,15883.533,28479.805
67,21731.852,39447.598
68,26138.512,34965.78
69,68387.984,64839.207
70,123140.35,121730.24
71,63718.926,52656.406
72,121417.05,133541.86
73,45917.11,66919.46
74,16782.676,25410.295
75,107217.48,112955.16
76,31163.812,49960.027
77,139181.23,176366.6
78,18086.363,24519.473
79,16927.227,31260.93
80,20800.71,31890.145
81,49909.434,49903.04
82,97304.96,98443.83
83,82983.69,83099.51
84,29687.164,48218.016
85,22800.408,30900.328
86,22045.621,32044.332
87,11701.864,22588.969
88,39532.105,41753.895
89,57232.957,52821.742
90,93784.33,89829.6
91,15948.242,28159.02
92,43811.62,40748.38
93,26358.635,29195.686
94,65825.99,76981.04
95,92312.69,64462.875
96,10145.008,16990.79
97,14202.663,20419.908
98,43180.168,40507.945
99,19562.162,24356.627
100,19571.71,24850.926
