ncl,mass from summing all,mass from summing mom0
1,6941695.5,9142085.0
2,25938530.0,17773922.0
3,34745770.0,35742164.0
4,6087832.0,4787180.5
5,30709134.0,31614666.0
6,11950345.0,11939950.0
7,20241770.0,12503226.0
8,7566910.0,6058711.0
9,5022879.0,4021715.0
10,18616672.0,13808660.0
11,11553951.0,11373472.0
12,2617098.8,2417589.2
13,17889688.0,15675252.0
14,601648.94,1115504.4
15,647165.0,587772.8
16,7854669.0,9140180.0
17,2235008.2,2599007.2
18,5774276.5,7891788.0
19,6685257.5,7011322.0
20,2511348.5,2819000.5
21,1267326.9,1397186.8
22,4467134.0,4675842.5
23,187353.56,274407.47
24,5100220.5,4643711.5
25,2506656.5,3420283.0
26,13098604.0,18415080.0
27,1009958.0,1732764.1
28,528218.56,506506.5
29,2033622.6,2899205.5
30,1738994.1,2223003.5
31,2432494.8,1575850.2
32,1585662.1,2523019.5
33,1098993.0,1647789.0
34,2432241.2,2998370.8
35,169116.16,220487.78
36,491719.34,844376.3
37,24142598.0,21130456.0
38,3759121.8,3922532.2
39,260669.06,375772.03
40,1153392.6,1909153.0
41,757191.56,923855.2
42,7018461.0,8770040.0
43,800949.56,1049220.0
44,1589403.6,785911.8
45,858535.7,938710.75
46,214246.1,322560.7
47,439733.4,879190.8
48,2836079.8,3742520.0
49,293832.0,496843.06
50,968808.4,1148914.0
51,90282.734,87857.74
52,221927.2,239935.4
53,229010.8,356261.38
54,455305.0,830908.5
55,742647.1,625526.56
56,675586.06,957285.0
57,321385.72,504616.3
58,222536.97,412985.34
59,75344.055,130469.664
60,209230.3,146438.39
61,73107.58,140069.16
62,78240.555,96631.27
63,14023.873,29841.275
64,93643.84,142277.94
65,43575.105,97028.79
66,122346.19,150256.95
67,86631.44,139839.19
68,240801.95,250819.52
69,144290.5,187413.22
70,23397.29,56621.164
71,45947.125,89256.44
72,64982.5,96525.98
73,155644.73,202478.17
74,52142.984,85325.22
75,12962.239,31590.54
76,33961.152,59022.86
77,77939.23,125673.25
78,2088.6707,5520.2646
79,37016.555,83609.69
80,303785.47,378471.0
81,104797.21,124165.625
82,16206.857,32191.627
83,129968.49,171487.62
84,95457.52,146563.67
85,34190.066,62783.445
86,110701.89,134912.72
87,169257.52,371120.06
88,28957.236,53585.36
89,21553.229,57304.42
90,91037.234,155329.58
91,76966.664,88795.0
92,48417.12,108460.53
93,14163.872,29811.416
94,73712.76,133762.78
95,76470.37,136961.92
96,117412.65,209932.98
97,193237.28,328605.72
98,38768.55,67316.836
99,1517605.6,1018923.5
100,146967.12,255768.89
101,43348.21,95568.17
102,89177.72,161582.0
103,2436.3271,7548.9116
104,62641.953,93366.4
105,48558.316,101560.66
106,18248.148,39787.594
107,65236.883,86105.086
108,44182.21,60279.785
109,74564.83,156251.9
110,109528.62,164950.0
111,123139.63,212883.78
112,17166.51,34551.035
113,45498.566,78894.24
114,29301.736,74415.78
115,54413.35,108417.766
116,71008.26,102619.695
117,53137.78,77682.734
118,8710.16,21475.467
119,108788.375,223147.83
120,43715.918,73514.66
121,32020.74,51739.598
122,13567.062,32084.441
123,6411.5625,16770.533
124,22985.85,40728.902
125,167434.39,196968.83
126,42013.383,100598.586
127,17112.947,33219.41
128,234626.72,199127.38
129,12114.692,31553.312
130,1810.9414,5855.538
131,31618.977,65530.883
132,5758.9155,11491.061
133,80636.984,98770.57
134,27802.477,53473.215
135,2286.487,6827.064
136,67898.21,118018.29
137,5365.857,13178.804
138,6637.831,18325.512
139,498.57727,1704.3186
140,2618.86,7530.4834
141,27325.416,49554.56
142,1641.3445,4954.7695
143,7642.818,19355.139
144,9007.078,21209.166
145,591.75146,1962.2742
146,12817.495,29681.586
147,1760.292,4884.4673
148,23451.29,65217.87
149,129792.54,176388.5
150,101128.484,159082.08
151,16027.42,42081.28
152,51273.58,83321.7
153,270.10895,982.8096
154,1670.8766,5299.918
155,59344.934,89026.7
156,762.91614,2224.9814
157,150705.81,146842.11
158,167.01566,626.4622
159,146045.47,115593.96
160,6051.6797,13950.499
161,65738.26,106469.23
162,16582.441,29089.475
163,5244.884,13923.284
164,1493.7095,3689.9917
