ncl,mass from summing all,mass from summing mom0
1,3333878.4327971637,3333878.5
2,16949243.9479744,16949244.0
3,16830523.512407526,16830522.0
4,2980476.7686754046,2980476.5
5,15208138.762588646,15208136.0
6,5847244.207888246,5847244.0
7,6325182.776304245,6325183.0
8,3217240.9507102966,3217240.5
9,969991.6479110718,969991.7
10,10026113.54970338,10026114.0
11,4226529.816130688,4226530.5
12,1153760.3494262695,1153760.2
13,3713336.46361804,3713336.8
14,597105.3112831116,597105.25
15,84991.14450836182,84991.15
16,648634.5572090149,648634.56
17,662365.0050758421,662365.06
18,283598.0726605505,283598.1
19,194310.62784540653,194310.62
20,454506.3949274868,454506.38
21,127539.22064208984,127539.21
22,216265.23752212524,216265.25
23,343819.6575431824,343819.66
24,528849.3089599609,528849.4
25,316696.43492354825,316696.47
26,207126.0170736313,207126.02
27,257156.25500679016,257156.25
28,84547.21402263641,84547.21
29,52928.77520751953,52928.77
30,95868.59766742587,95868.59
31,3488225.116056919,3488225.0
32,357422.7546348572,357422.72
33,90490.62820577621,90490.63
34,220751.20455169678,220751.19
35,119632.66154038906,119632.67
36,150971.21786689758,150971.22
37,252369.6495185662,252369.64
38,255645.48721402884,255645.48
39,76458.34494781494,76458.34
40,212226.80500030518,212226.78
41,298140.169090271,298140.16
42,237874.23595380783,237874.23
43,308055.35022735596,308055.3
44,96831.96518707275,96831.97
45,180492.29531860352,180492.3
46,70776.56866455078,70776.57
47,156810.43647003174,156810.42
48,18503.935470581055,18503.934
49,83860.91607654095,83860.914
50,56528.53718185425,56528.54
51,185041.4563179016,185041.45
52,32631.195831298828,32631.193
53,33185.34222793579,33185.344
54,31189.538345336914,31189.537
55,351051.42332458496,351051.4
56,27021.958652496338,27021.959
57,33632.952713012695,33632.957
58,87515.10494232178,87515.11
59,26311.549114227295,26311.549
60,7524.477611497976,7524.4775
61,52888.657957434654,52888.66
62,20294.512987613678,20294.512
63,74777.03991234116,74777.04
64,24420.36300212145,24420.363
65,14442.85732896626,14442.857
66,31442.835783213377,31442.838
67,41173.79527759552,41173.8
68,34965.78007507324,34965.78
69,64839.21004486084,64839.207
70,121730.24752807617,121730.24
71,52656.40236663818,52656.406
72,133580.48390197754,133580.47
73,66919.46095275879,66919.46
74,25410.29558944702,25410.295
75,113244.96320295334,113244.96
76,51021.96607589722,51021.97
77,177860.34080314636,177860.36
78,24988.863563537598,24988.863
79,31710.233724027872,31710.23
80,32376.919773101807,32376.918
81,49903.03795623779,49903.04
82,98443.8246307373,98443.83
83,83099.50762557983,83099.51
84,48483.59586715698,48483.594
85,30900.326122283936,30900.328
86,32044.333011627197,32044.332
87,22588.968830108643,22588.969
88,41913.53708648682,41913.54
89,52821.74571609497,52821.742
90,89829.600730896,89829.6
91,29861.194946050644,29861.195
92,40748.380310058594,40748.38
93,29152.094494506717,29152.096
94,77196.04417991638,77196.05
95,64462.873878479004,64462.875
96,17579.506175085902,17579.506
97,20964.579676538706,20964.58
98,40507.94170379639,40507.945
99,24356.62641143799,24356.627
100,24850.924598693848,24850.926
