ncl,mass from summing all,mass from summing mom0
1,8356793.950260878,8356793.5
2,42485454.14841157,42485450.0
3,42187866.14257759,42187870.0
4,7470947.333024684,7470948.0
5,38121150.633660495,38121156.0
6,14656867.672131062,14656868.0
7,15854882.006893158,15854884.0
8,8064427.1404800415,8064426.5
9,2431408.4873962402,2431408.2
10,25131739.718451962,25131738.0
11,10594339.139874958,10594339.0
12,2892048.3156051636,2892048.5
13,9307954.174349189,9307954.0
14,1496721.0558929443,1496721.1
15,213041.20644378662,213041.2
16,1625885.7205047607,1625885.8
17,1660302.8528382778,1660302.9
18,710874.9466096759,710874.9
19,487064.51442968845,487064.5
20,1139278.5813209265,1139278.5
21,319693.41619873047,319693.4
22,542096.5615804493,542096.5
23,861828.0766830444,861828.06
24,1325628.6298828125,1325628.8
25,793840.2375490814,793840.3
26,519187.93101119995,519187.9
27,644595.1388587952,644595.1
28,211928.43658638,211928.44
29,132672.76431274414,132672.77
30,240306.93670651317,240306.92
31,8743683.701462746,8743684.0
32,895925.9835128784,895926.0
33,226826.36772060394,226826.36
34,553341.2101593018,553341.25
35,299874.61146372557,299874.62
36,378428.7242126465,378428.75
37,632596.8984612599,632596.9
38,640808.2057238817,640808.2
39,191652.64960479736,191652.66
40,531973.7107772827,531973.6
41,747326.5735473633,747326.6
42,596262.2852239609,596262.3
43,772180.2502098083,772180.25
44,242721.74340820312,242721.77
45,452427.0881958008,452427.12
46,177410.5478401184,177410.55
47,393065.4741668701,393065.5
48,46382.48836517334,46382.49
49,210208.14295744896,210208.14
50,141696.03034973145,141696.03
51,463830.146900177,463830.16
52,81794.27812194824,81794.27
53,83183.31741333008,83183.31
54,78180.57846069336,78180.58
55,879955.4232177734,879955.5
56,67734.00526428223,67734.01
57,84305.30996704102,84305.305
58,219367.83772277832,219367.83
59,65953.27298736572,65953.27
60,18861.0681134928,18861.068
61,132572.20484030247,132572.2
62,50870.79991912842,50870.797
63,187438.24319990724,187438.25
64,61212.77234262228,61212.77
65,36202.87475606799,36202.875
66,78815.50056087971,78815.5
67,103207.39921951294,103207.41
68,87646.21276855469,87646.21
69,162527.79737854004,162527.78
70,305132.47971343994,305132.47
71,131990.02671813965,131990.02
72,334836.6173171997,334836.6
73,167742.21327209473,167742.22
74,63694.16555786133,63694.164
75,283863.0264940262,283863.03
76,127893.10297393799,127893.11
77,445829.75913619995,445829.78
78,62637.79183959961,62637.79
79,79485.7683917284,79485.77
80,81156.90196228027,81156.9
81,125088.36488342285,125088.375
82,246762.07357788086,246762.06
83,208299.57514953613,208299.58
84,121530.35243225098,121530.36
85,77455.63078308105,77455.63
86,80323.2303314209,80323.23
87,56622.14808654785,56622.145
88,105061.65675354004,105061.664
89,132404.4803314209,132404.48
90,225169.4171295166,225169.42
91,74850.9156858921,74850.914
92,102141.04257202148,102141.03
93,73073.4642624259,73073.47
94,193501.78638458252,193501.77
95,161584.46282958984,161584.47
96,44065.287296295166,44065.285
97,52550.40805181861,52550.406
98,101538.3529663086,101538.36
99,61053.008361816406,61053.01
100,62292.0304107666,62292.03
