ncl,mass from summing all,mass from summing mom0
1,9305654.097594332,9305655.0
2,17885208.163458206,17885208.0
3,36107103.013567366,36107100.0
4,4804386.448565751,4804386.0
5,31858716.867665812,31858714.0
6,12016629.621971939,12016632.0
7,12539191.880695298,12539192.0
8,6076240.332324192,6076240.5
9,4034176.5569976494,4034176.8
10,13938837.860644238,13938838.0
11,11475691.234776124,11475690.0
12,2427472.3724586703,2427472.2
13,15786028.447784398,15786030.0
14,1190570.9639272452,1190570.9
15,588374.9150745869,588374.94
16,9221373.569967937,9221375.0
17,2617164.5646628086,2617164.8
18,8110779.354219041,8110778.5
19,7124157.086107173,7124157.5
20,2844640.379142344,2844640.5
21,1408198.5079016685,1408198.6
22,4740421.342382794,4740420.5
23,280948.2929540314,280948.28
24,4658617.360240843,4658618.0
25,3516247.8015342355,3516248.0
26,18986750.288035516,18986748.0
27,1821534.4093791917,1821534.1
28,507737.02702379227,507737.03
29,3022428.543596037,3022428.5
30,2253047.1072000526,2253047.2
31,1575850.1364974976,1575850.2
32,2600725.810163798,2600725.8
33,1684008.9372388516,1684008.9
34,3039544.4428551234,3039544.2
35,232456.67491902038,232456.66
36,902491.2516370155,902491.2
37,21339776.86453963,21339770.0
38,3952213.4361152276,3952213.2
39,384190.45727663673,384190.47
40,2001528.0903764365,2001528.2
41,938548.1291053668,938548.2
42,8914459.720161224,8914460.0
43,1075504.3828005735,1075504.4
44,785911.7199554443,785911.8
45,942175.0699226856,942174.9
46,338394.60023171734,338394.6
47,991932.3816450599,991932.4
48,3810720.341017957,3810720.8
49,530872.7904579043,530872.8
50,1169083.098953709,1169083.1
52,240909.51748657227,240909.53
53,362640.9211347103,362640.97
54,865935.650872929,865935.56
55,629112.3501994312,629112.3
56,984619.5406748215,984619.5
57,534686.7807546221,534686.75
58,454669.2991221403,454669.3
59,142085.0320897922,142085.03
61,149502.75233659614,149502.75
64,142601.2608947754,142601.27
65,109736.68840774149,109736.69
66,153174.7479482107,153174.75
67,143175.1765564019,143175.17
68,251403.18008580245,251403.19
69,191398.31652450562,191398.33
71,92116.06292915344,92116.06
72,92238.36626116931,92238.37
73,206566.03899478912,206566.05
74,92244.70639896393,92244.72
76,60677.08098978549,60677.082
79,96437.24044573307,96437.24
80,381218.4161571264,381218.44
81,124604.32148456573,124604.33
82,40172.92384028435,40172.926
83,172957.4276189804,172957.42
86,135664.14321899414,135664.16
91,89184.0550365448,89184.05
97,355024.4452403728,355024.47
99,1022597.6611022949,1022597.75
128,199127.3694152832,199127.38
149,180725.94300153852,180725.92
157,146842.11598205566,146842.11
