ncl,mass from summing all,mass from summing mom0
1,23325815.678865034,23325816.0
2,44831568.49660915,44831564.0
3,90507085.36791298,90507070.0
4,12042810.9061988,12042810.0
5,79857960.51683308,79857950.0
6,30121223.57080455,30121222.0
7,31431092.92327538,31431090.0
8,15230875.832150578,15230876.0
9,10112181.024121266,10112180.0
10,34939485.104782686,34939484.0
11,28765292.140433967,28765288.0
12,6084770.895731971,6084771.0
13,39569705.25505588,39569710.0
14,2984318.841339589,2984319.0
15,1474837.1982905865,1474837.4
16,23114555.722912773,23114554.0
17,6560258.700711552,6560258.0
18,20330708.856639147,20330706.0
19,17857613.577750407,17857614.0
20,7130456.00613147,7130456.0
21,3529830.195488386,3529830.0
22,11882474.16260659,11882473.0
23,704232.9350858778,704232.94
24,11677422.000756007,11677421.0
25,8813926.167796845,8813928.0
26,47592725.117221504,47592716.0
27,4565909.661214102,4565909.0
28,1272707.9866485596,1272708.1
29,7576104.848874982,7576104.5
30,5647551.582351245,5647552.0
31,3950070.5073394775,3950070.5
32,6519052.845135905,6519054.0
33,4221184.416023627,4221184.5
34,7619008.036911815,7619008.0
35,582682.4720721766,582682.56
36,2262210.087688066,2262210.0
37,53490888.05754724,53490896.0
38,9906729.948626801,9906728.0
39,963022.6626043655,963022.6
40,5017086.905573245,5017086.0
41,2352591.277927339,2352591.0
42,22345236.7876424,22345238.0
43,2695889.6980037466,2695889.5
44,1969988.5353393555,1969988.4
45,2361682.670533061,2361682.8
46,848229.472828256,848229.5
47,2486405.756177808,2486405.5
48,9552059.354231821,9552058.0
49,1330700.7452429384,1330700.8
50,2930456.7496038377,2930457.0
52,603870.607421875,603870.56
53,909005.9859776497,909005.94
54,2170578.7896338105,2170578.8
55,1576950.8064897358,1576950.8
56,2468075.178830771,2468075.5
57,1340261.0029520579,1340261.1
58,1139686.9216482153,1139686.9
59,356154.3596085608,356154.34
61,374747.8273965139,374747.84
64,357448.35176086426,357448.34
65,275069.08647434413,275069.1
66,383952.1545370072,383952.2
67,358886.9453427916,358886.97
68,630174.3193625212,630174.3
69,479764.4323616028,479764.47
71,230900.72818946838,230900.73
72,231207.29678672552,231207.28
73,517784.2738952637,517784.28
74,231223.19155693054,231223.19
76,152094.8872334957,152094.89
79,241732.31392163038,241732.31
80,955572.8609995842,955572.8
81,312336.7143354416,312336.72
82,100698.58732566237,100698.586
83,433539.978685379,433540.0
86,340059.57695770264,340059.56
91,223551.2743988037,223551.27
97,889914.3133724313,889914.3
99,2563272.213497162,2563272.2
128,499138.29320526123,499138.28
149,453012.757961154,453012.72
157,368078.59927368164,368078.62
