ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,COmax,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,area,perimeter
49,2,1376,1454,45,2153,7354,9.431555748,17.10693024,0.7333408076,26.75,13.98,26.04,12.64,4800.587396,576.3847478
54,2,1419,754,35,4746,12681,8.804850578,13.87492438,0.6178908866,58.98,25.49,60.52,35.78,10582.25164,872.0432453
65,2,831,1125,43,1036,2475,7.300191879,8.798393676,0.4021636629,11.19,29.35,23.62,4.558,2309.990034,265.7940029
66,2,829,1987,47,869,1202,7.289719582,6.703160822,0.2370521469,13.04,24.78,23.31,15.03,1937.626775,265.7940029
67,2,1413,1860,59,940,1438,7.280642033,10.59004999,0.5015827411,31.64,9.373,21.76,7.526,2095.936903,307.6042954
75,2,921,1160,42,1124,1995,7.062200069,8.834710206,0.413718928,11.12,27.45,22.28,8.404,2506.205403,322.5365428
77,2,1412,1392,50,459,1369,6.981323719,10.52790533,0.4809604046,13.94,9.096,4.982,6.796,1023.44153,164.2547209
78,2,931,1130,46,606,841,6.977092743,7.217237996,0.3584009155,8.502,13.76,nan,32.63,1351.210386,223.9837103
83,2,894,1634,44,759,1359,6.87653923,8.736502904,0.3886498972,12.55,25.99,23.48,15.99,1692.357563,268.7804523
84,2,1463,766,33,1185,1464,6.86286211,8.683519876,0.3818292424,9.926,27.5,20.27,18.04,2642.21833,352.4010375
